"gene_symbol","ensembl_gene_id","entrezgene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm17828","ENSMUSG00000098893","#N/A",14.0744414934997,-0.243040522336666,0.535618384834898,-0.453756870969959,0.65000382891967,0.834807238353375
"Gm42600","ENSMUSG00000107278","#N/A",18.0598106738458,0.238992688409528,0.526956826116119,0.453533717688031,0.650164469671613,0.834807238353375
"Pphln1-ps1","ENSMUSG00000121810","66598",20.8725435725864,-0.209886127292866,0.462497897321659,-0.453809905965678,0.649965653152093,0.834807238353375
"Rbbp6","ENSMUSG00000030779","19647",2588.26929555123,0.0744588308486111,0.164150829424399,0.45360008907481,0.650116689381157,0.834807238353375
"Sh3bp4","ENSMUSG00000036206","98402",1685.34724018699,-0.0566725092572563,0.124918699925508,-0.453675144642486,0.650062659143579,0.834807238353375
"Tial1","ENSMUSG00000030846","21843",2137.4970919814,0.0632078900978556,0.139318172211244,0.453694511596199,0.650048717756799,0.834807238353375
"Gm45588","ENSMUSG00000110065","#N/A",20.1215080598496,0.187296043755325,0.413153792221001,0.453332505429691,0.650309329737731,0.834926651417661
"4930455C13Rik","ENSMUSG00000112654","73990",25.2494250571104,0.189496567138913,0.418173305017274,0.453153189994003,0.650438436615646,0.835025821665888
"Daam2","ENSMUSG00000040260","76441",22.0142311706392,-0.195383759854656,0.431370812468628,-0.452936903024392,0.650594176908051,0.83512081886624
"Slc23a1","ENSMUSG00000024354","20522",21.8226183197448,0.226228596302175,0.499504135088873,0.452906353341648,0.650616175840947,0.83512081886624
"Marf1","ENSMUSG00000060657","223989",1839.21431398926,-0.0644799167219137,0.142455823791864,-0.452630963098585,0.650814499050903,0.835242202847312
"Uggt2","ENSMUSG00000042104","66435",447.572895235774,-0.0634946141804744,0.140341461608818,-0.45242947773664,0.650959615073619,0.835361852597263
"Ofd1","ENSMUSG00000040586","237222",369.833295440383,-0.0702128035160776,0.155266205017178,-0.452209181697391,0.651118294270197,0.835498887204126
"Selenot-ps","ENSMUSG00000081920","#N/A",21.0792779407141,0.206259093509054,0.456355601459712,0.451970114641539,0.651290512112673,0.835653271040328
"Slc25a38","ENSMUSG00000032519","208638",352.182776774229,-0.0858365780823248,0.1899622064671,-0.451861344836458,0.651368873280995,0.8356872149035
"Gm46577","ENSMUSG00000117249","#N/A",30.6270450478635,0.156510049046004,0.346527241688573,0.451652944465073,0.651519022182588,0.83581324758085
"Polr1e","ENSMUSG00000028318","64424",755.385514736943,0.0758258808183306,0.167965377611689,0.451437563481854,0.651674215346924,0.835945730785235
"Paf1","ENSMUSG00000003437","54624",1201.58252850893,-0.059742545656454,0.132420960292195,-0.451156263514692,0.651876929280589,0.836139146065765
"Dync1li1","ENSMUSG00000032435","235661",1868.93239441426,0.05886684465271,0.130519772577045,0.451018596572878,0.651976145947649,0.836199788875738
"Dnm1l","ENSMUSG00000022789","74006",2359.79649642159,-0.05111417857255,0.11335264364314,-0.450930626139337,0.652039549530556,0.836214493184798
"Gm15246","ENSMUSG00000081137","#N/A",20.5274755573143,0.215810985786236,0.478674316081742,0.450851400494575,0.652096652569582,0.836221115600978
"Zfand6","ENSMUSG00000030629","65098",775.94574935509,-0.0657368257513844,0.145881499278817,-0.450617974701126,0.652264909471884,0.836370264614315
"Gm38366","ENSMUSG00000103621","#N/A",18.9588051537186,0.23871749371619,0.530114419633555,0.450313149152225,0.652484659062846,0.836585411396975
"Gm38387","ENSMUSG00000102374","#N/A",10.6381111012351,0.286972277028157,0.637764108188651,0.449966176119886,0.652734829602957,0.836839525131996
"Bloc1s5","ENSMUSG00000038982","17828",302.130985639747,-0.074658588149544,0.16607894855936,-0.449536734168685,0.653044515030822,0.837169893462555
"B130024G19Rik","ENSMUSG00000100005","#N/A",122.21997124484,-0.161993231677693,0.360720413249691,-0.449082518558663,0.653372130662823,0.837389850634569
"Gm50045","ENSMUSG00000117507","#N/A",28.9066578773891,-0.171336665744904,0.381474242393224,-0.449143472099199,0.653328162343932,0.837389850634569
"Scd1","ENSMUSG00000037071","20249",7864.07683920274,-0.0605941771015088,0.134888805342161,-0.449215759215929,0.653276020206327,0.837389850634569
"Phkb","ENSMUSG00000036879","102093",1448.29851096967,-0.045121107480851,0.100528391081103,-0.448839447201027,0.653547480091145,0.837547912876498
"Cdnf","ENSMUSG00000039496","227526",19.5453863219658,-0.215237596657163,0.479711238733614,-0.448681580246833,0.653661374099362,0.837560535057678
"Jak3","ENSMUSG00000031805","16453",160.989755256936,-0.160519510805657,0.357700729265411,-0.448753658219558,0.653609372036727,0.837560535057678
"Gm6085","ENSMUSG00000098104","#N/A",47.6053469081318,-0.13291076903699,0.296359969017441,-0.448477469739405,0.653808642739236,0.837682567889678
"Senp8","ENSMUSG00000051705","71599",167.706640924804,0.0874627957887754,0.195071211504623,0.448363421307314,0.653890936179556,0.837721339419977
"Cep104","ENSMUSG00000039523","230967",1119.51441954802,0.0692653420228996,0.154693745426403,0.447757870442493,0.654327951401834,0.837814539332712
"Ncoa1","ENSMUSG00000020647","17977",393.562540558769,-0.0644733033299113,0.143883047981897,-0.448095201166599,0.654084491226268,0.837814539332712
"Rprl3","ENSMUSG00000088025","#N/A",21.1268712587743,0.325413646383576,0.72655455435724,0.447886045764946,0.6542354396737,0.837814539332712
"Slc26a2","ENSMUSG00000034320","13521",554.484286245927,-0.0634481370833652,0.141599895631494,-0.448080394412758,0.654095176865662,0.837814539332712
"St7","ENSMUSG00000029534","64213",294.033805745828,-0.0780767647695089,0.174366081006607,-0.447774958975825,0.654315617287585,0.837814539332712
"Tirap","ENSMUSG00000032041","117149",349.931101353706,0.0650915562536369,0.145329300951946,0.447890107688331,0.654232508029623,0.837814539332712
"Vat1","ENSMUSG00000034993","26949",6197.09693513445,0.0708039006892336,0.158073246794182,0.44791830448971,0.654212157476263,0.837814539332712
"Trpm4","ENSMUSG00000038260","68667",126.777158083951,-0.183827157414467,0.410618077125535,-0.447684034520153,0.654381245574124,0.837816147414982
"1700101I11Rik","ENSMUSG00000097675","#N/A",21.7782635415119,0.21763120519904,0.486355139622253,0.447473846720468,0.65453296707469,0.837916942026884
"Nrip1","ENSMUSG00000048490","268903",535.969938347218,-0.0687227152855875,0.153651461901004,-0.447263660464649,0.654684701731294,0.838004746213534
"Gm56718","ENSMUSG00000120979","#N/A",6.68262320458075,-0.324871021784064,0.726648570958419,-0.447081346840843,0.65481632652906,0.838039972743869
