"experiment","condition","sample","sample_label","ensembl_gene_id","entrezgene_id","external_gene_name","gene_biotype","normalized_count"
"CRISPR","WT","sample.WT_1","WT 1","ENSMUSG00000000148","231841","Brat1","protein_coding",552.698240039533
"CRISPR","WT","sample.WT_2","WT 2","ENSMUSG00000000148","231841","Brat1","protein_coding",647.261178396034
"CRISPR","WT","sample.WT_3","WT 3","ENSMUSG00000000148","231841","Brat1","protein_coding",603.641962532787
"CRISPR","Het","sample.pos.neg_1","Het 1","ENSMUSG00000000148","231841","Brat1","protein_coding",553.822362657544
"CRISPR","Het","sample.pos.neg_2","Het 2","ENSMUSG00000000148","231841","Brat1","protein_coding",567.027580622846
"CRISPR","Het","sample.pos.neg_3","Het 3","ENSMUSG00000000148","231841","Brat1","protein_coding",557.475733232031
"CRISPR","KO","sample.neg.neg_1","KO 1","ENSMUSG00000000148","231841","Brat1","protein_coding",574.591223288917
"CRISPR","KO","sample.neg.neg_2","KO 2","ENSMUSG00000000148","231841","Brat1","protein_coding",491.98690570044
"CRISPR","KO","sample.neg.neg_3","KO 3","ENSMUSG00000000148","231841","Brat1","protein_coding",700.618835531393
"CRISPR","WT","sample.WT_1","WT 1","ENSMUSG00000000149","14673","Gna12","protein_coding",2103.0836303069
"CRISPR","WT","sample.WT_2","WT 2","ENSMUSG00000000149","14673","Gna12","protein_coding",2361.28664479516
"CRISPR","WT","sample.WT_3","WT 3","ENSMUSG00000000149","14673","Gna12","protein_coding",2285.35584085386
"CRISPR","Het","sample.pos.neg_1","Het 1","ENSMUSG00000000149","14673","Gna12","protein_coding",1865.97235162861
"CRISPR","Het","sample.pos.neg_2","Het 2","ENSMUSG00000000149","14673","Gna12","protein_coding",1785.97966244238
"CRISPR","Het","sample.pos.neg_3","Het 3","ENSMUSG00000000149","14673","Gna12","protein_coding",1943.4388567897
"CRISPR","KO","sample.neg.neg_1","KO 1","ENSMUSG00000000149","14673","Gna12","protein_coding",1818.34180869972
"CRISPR","KO","sample.neg.neg_2","KO 2","ENSMUSG00000000149","14673","Gna12","protein_coding",1699.11658149065
"CRISPR","KO","sample.neg.neg_3","KO 3","ENSMUSG00000000149","14673","Gna12","protein_coding",1833.70728732508
"CRISPR","WT","sample.WT_1","WT 1","ENSMUSG00000000159","72058","Igsf5","protein_coding",0
"CRISPR","WT","sample.WT_2","WT 2","ENSMUSG00000000159","72058","Igsf5","protein_coding",0
"CRISPR","WT","sample.WT_3","WT 3","ENSMUSG00000000159","72058","Igsf5","protein_coding",0
"CRISPR","Het","sample.pos.neg_1","Het 1","ENSMUSG00000000159","72058","Igsf5","protein_coding",2.21086771519977
"CRISPR","Het","sample.pos.neg_2","Het 2","ENSMUSG00000000159","72058","Igsf5","protein_coding",10.481101305413
"CRISPR","Het","sample.pos.neg_3","Het 3","ENSMUSG00000000159","72058","Igsf5","protein_coding",8.32053333182136
"CRISPR","KO","sample.neg.neg_1","KO 1","ENSMUSG00000000159","72058","Igsf5","protein_coding",25.1383660188901
"CRISPR","KO","sample.neg.neg_2","KO 2","ENSMUSG00000000159","72058","Igsf5","protein_coding",14.3550556039916
"CRISPR","KO","sample.neg.neg_3","KO 3","ENSMUSG00000000159","72058","Igsf5","protein_coding",53.2687001241652
"CRISPR","WT","sample.WT_1","WT 1","ENSMUSG00000000167","72614","Pih1d2","protein_coding",25.1583836148863
"CRISPR","WT","sample.WT_2","WT 2","ENSMUSG00000000167","72614","Pih1d2","protein_coding",33.0930527300228
"CRISPR","WT","sample.WT_3","WT 3","ENSMUSG00000000167","72614","Pih1d2","protein_coding",30.0189516502791
"CRISPR","Het","sample.pos.neg_1","Het 1","ENSMUSG00000000167","72614","Pih1d2","protein_coding",40.9010527311958
"CRISPR","Het","sample.pos.neg_2","Het 2","ENSMUSG00000000167","72614","Pih1d2","protein_coding",31.4433039162391
"CRISPR","Het","sample.pos.neg_3","Het 3","ENSMUSG00000000167","72614","Pih1d2","protein_coding",27.3388952331273
"CRISPR","KO","sample.neg.neg_1","KO 1","ENSMUSG00000000167","72614","Pih1d2","protein_coding",59.8532524259289
"CRISPR","KO","sample.neg.neg_2","KO 2","ENSMUSG00000000167","72614","Pih1d2","protein_coding",43.0651668119749
"CRISPR","KO","sample.neg.neg_3","KO 3","ENSMUSG00000000167","72614","Pih1d2","protein_coding",49.6572628276116
"CRISPR","WT","sample.WT_1","WT 1","ENSMUSG00000000168","235339","Dlat","protein_coding",1796.46583000047
"CRISPR","WT","sample.WT_2","WT 2","ENSMUSG00000000168","235339","Dlat","protein_coding",1831.79780111479
"CRISPR","WT","sample.WT_3","WT 3","ENSMUSG00000000168","235339","Dlat","protein_coding",2175.7214087398
"CRISPR","Het","sample.pos.neg_1","Het 1","ENSMUSG00000000168","235339","Dlat","protein_coding",1668.09969111823
"CRISPR","Het","sample.pos.neg_2","Het 2","ENSMUSG00000000168","235339","Dlat","protein_coding",1931.66697058762
"CRISPR","Het","sample.pos.neg_3","Het 3","ENSMUSG00000000168","235339","Dlat","protein_coding",2027.83283772675
"CRISPR","KO","sample.neg.neg_1","KO 1","ENSMUSG00000000168","235339","Dlat","protein_coding",1522.66674171563
"CRISPR","KO","sample.neg.neg_2","KO 2","ENSMUSG00000000168","235339","Dlat","protein_coding",1846.58215269529
"CRISPR","KO","sample.neg.neg_3","KO 3","ENSMUSG00000000168","235339","Dlat","protein_coding",2002.54198093896
"CRISPR","WT","sample.WT_1","WT 1","ENSMUSG00000000171","66925","Sdhd","protein_coding",3468.71214090245
"CRISPR","WT","sample.WT_2","WT 2","ENSMUSG00000000171","66925","Sdhd","protein_coding",3708.36855592314
"CRISPR","WT","sample.WT_3","WT 3","ENSMUSG00000000171","66925","Sdhd","protein_coding",3549.41473969279
"CRISPR","Het","sample.pos.neg_1","Het 1","ENSMUSG00000000171","66925","Sdhd","protein_coding",3303.03636650846
"CRISPR","Het","sample.pos.neg_2","Het 2","ENSMUSG00000000171","66925","Sdhd","protein_coding",3500.68783600796
"CRISPR","Het","sample.pos.neg_3","Het 3","ENSMUSG00000000171","66925","Sdhd","protein_coding",3544.5471993559
"CRISPR","KO","sample.neg.neg_1","KO 1","ENSMUSG00000000171","66925","Sdhd","protein_coding",3315.87018439646
"CRISPR","KO","sample.neg.neg_2","KO 2","ENSMUSG00000000171","66925","Sdhd","protein_coding",3832.79984626576
"CRISPR","KO","sample.neg.neg_3","KO 3","ENSMUSG00000000171","66925","Sdhd","protein_coding",3041.73306302225
"CRISPR","WT","sample.WT_1","WT 1","ENSMUSG00000000184","12444","Ccnd2","protein_coding",2463.16299579496
"CRISPR","WT","sample.WT_2","WT 2","ENSMUSG00000000184","12444","Ccnd2","protein_coding",3560.42314371833
"CRISPR","WT","sample.WT_3","WT 3","ENSMUSG00000000184","12444","Ccnd2","protein_coding",4434.32122747058
"CRISPR","Het","sample.pos.neg_1","Het 1","ENSMUSG00000000184","12444","Ccnd2","protein_coding",4242.65514546837
"CRISPR","Het","sample.pos.neg_2","Het 2","ENSMUSG00000000184","12444","Ccnd2","protein_coding",5121.06609782481
"CRISPR","Het","sample.pos.neg_3","Het 3","ENSMUSG00000000184","12444","Ccnd2","protein_coding",5139.71230382794
"CRISPR","KO","sample.neg.neg_1","KO 1","ENSMUSG00000000184","12444","Ccnd2","protein_coding",2894.50328731792
"CRISPR","KO","sample.neg.neg_2","KO 2","ENSMUSG00000000184","12444","Ccnd2","protein_coding",3590.06890605281
"CRISPR","KO","sample.neg.neg_3","KO 3","ENSMUSG00000000184","12444","Ccnd2","protein_coding",2615.58346202893
"CRISPR","WT","sample.WT_1","WT 1","ENSMUSG00000000194","277463","Gpr107","protein_coding",890.764019864567
"CRISPR","WT","sample.WT_2","WT 2","ENSMUSG00000000194","277463","Gpr107","protein_coding",1061.89766260161
