"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","external_gene_source","transcript_count","description"
"ENSG00000170017",4346.78118120388,2.9713473921153,0.108242485900407,1.02139947495747e-166,3.87995840487171e-165,"214","ALCAM","protein_coding","HGNC Symbol",9,"activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]"
"ENSG00000100083",3464.03626686927,-1.90329986749167,0.0692978815983991,1.07511945034821e-166,4.07723871286539e-165,"26088","GGA1","protein_coding","HGNC Symbol",23,"golgi associated, gamma adaptin ear containing, ARF binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17842]"
"ENSG00000109861",1284.47516021619,4.17477837803892,0.15224633422459,1.31087298109756e-166,4.9630564110211e-165,"1075","CTSC","protein_coding","HGNC Symbol",9,"cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528]"
"ENSG00000187244",936.050757563598,5.68594876697654,0.207350250495839,2.91513060429253e-166,1.1018614519205e-164,"4059","BCAM","protein_coding","HGNC Symbol",9,"basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722]"
"ENSG00000231878",896.545406508255,-4.94204526980671,0.180712701763776,4.77060835458808e-166,1.80021468983878e-164,"NA","SNRPFP1","processed_pseudogene","HGNC Symbol",1,"small nuclear ribonucleoprotein polypeptide F pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16551]"
"ENSG00000092201",8073.47879927354,2.1444045238845,0.0783318281429764,5.86655305227832e-166,2.21012221424941e-164,"11198","SUPT16H","protein_coding","HGNC Symbol",8,"SPT16 homolog, facilitates chromatin remodeling subunit [Source:HGNC Symbol;Acc:HGNC:11465]"
"ENSG00000111674",2089.1871635089,-2.83037050671831,0.103358456924664,7.15298629012381e-166,2.69032416809764e-164,"2026","ENO2","protein_coding","HGNC Symbol",14,"enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]"
"ENSG00000146648",9679.1303687242,3.83907852884441,0.140344065216872,8.79082322593831e-166,3.30089628697651e-164,"1956","EGFR","protein_coding","HGNC Symbol",11,"epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]"
"ENSG00000011422",1352.80452550012,5.9961597300068,0.218922886805884,9.18940614786858e-166,3.4448956051862e-164,"5329","PLAUR","protein_coding","HGNC Symbol",16,"plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]"
"ENSG00000095303",1572.44243185703,-9.46804750297144,0.344194610383999,9.41445945897336e-166,3.5234772040715e-164,"5742","PTGS1","protein_coding","HGNC Symbol",10,"prostaglandin-endoperoxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:9604]"
