"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","external_gene_source","transcript_count","description"
"ENSG00000129480",110.882003642419,2.63229543626305,0.286113095723405,9.2001920765199,3.57310486700735e-20,1.10728904728896e-19,"112487","DTD2","protein_coding","HGNC Symbol",3,"D-aminoacyl-tRNA deacylase 2 [Source:HGNC Symbol;Acc:HGNC:20277]"
"ENSG00000267943",92.679699259144,-8.0609267667033,0.876321039055542,-9.19860006487005,3.62643351705813e-20,1.12366282837184e-19,"NA","AC010328.1","lncRNA","Clone-based (Ensembl) gene",1,"novel transcript"
"ENSG00000230360",95.5942315634502,-3.46926900290138,0.377160663075048,-9.19838504529053,3.63369621834625e-20,1.12576041070491e-19,"NA","DDX10P2","processed_pseudogene","HGNC Symbol",1,"DEAD-box helicase 10 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:44961]"
"ENSG00000213078",242.031987233807,-10.9282235038719,1.18822365540768,-9.1971098657537,3.67706431303964e-20,1.13904176752639e-19,"NA","AL390955.1","processed_pseudogene","Clone-based (Ensembl) gene",1,"steroid dehydrogenase homolog pseudogene"
"ENSG00000166220",251.238408924004,-10.9835983067031,1.19463620658402,-9.19409460902743,3.78165733976261e-20,1.17128255415521e-19,"219793","TBATA","protein_coding","HGNC Symbol",3,"thymus, brain and testes associated [Source:HGNC Symbol;Acc:HGNC:23511]"
"ENSG00000123191",117.558417403981,2.65306275417845,0.288584258739038,9.19337307506288,3.80711878898163e-20,1.17900870798224e-19,"540","ATP7B","protein_coding","HGNC Symbol",26,"ATPase copper transporting beta [Source:HGNC Symbol;Acc:HGNC:870]"
"ENSG00000100714",2924.65017553902,1.23581304078235,0.134429031822592,9.1930517093456,3.81851360280747e-20,1.18237712670683e-19,"4522","MTHFD1","protein_coding","HGNC Symbol",22,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7432]"
"ENSG00000071889",834.00194963795,1.03142587437181,0.11220576587642,9.19227159420475,3.84631495748685e-20,1.19082411824552e-19,"60343","FAM3A","protein_coding","HGNC Symbol",22,"FAM3 metabolism regulating signaling molecule A [Source:HGNC Symbol;Acc:HGNC:13749]"
"ENSG00000141682",331.728976549152,9.46022999188714,1.029440713034,9.1896792812921,3.94014354919138e-20,1.21970816580392e-19,"5366","PMAIP1","protein_coding","HGNC Symbol",3,"phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]"
"ENSG00000148204",66.0437742427922,-2.95328601046781,0.321379775373585,-9.1893959631865,3.95053439249235e-20,1.22275895038775e-19,"286204","CRB2","protein_coding","HGNC Symbol",3,"crumbs cell polarity complex component 2 [Source:HGNC Symbol;Acc:HGNC:18688]"
"ENSG00000023902",1903.98619652181,-2.06299120264038,0.224505752706949,-9.18903492568066,3.96381489903471e-20,1.22670318754185e-19,"51177","PLEKHO1","protein_coding","HGNC Symbol",9,"pleckstrin homology domain containing O1 [Source:HGNC Symbol;Acc:HGNC:24310]"
"ENSG00000231562",167.35671347423,-9.51062812515235,1.03539023488151,-9.18554937524666,4.09431972081181e-20,1.26691947988796e-19,"NA","AL512593.1","processed_pseudogene","Clone-based (Ensembl) gene",1,"ribosomal protein L7a (RPL7A) pseudogene"
"ENSG00000169564",7595.52398749823,-0.596992892815697,0.0649940017342853,-9.18535367704208,4.10177162199172e-20,1.26905334232377e-19,"5093","PCBP1","protein_coding","HGNC Symbol",1,"poly(rC) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8647]"
"ENSG00000090376",177.458408559997,1.76960661134821,0.192657856106413,9.18522943788382,4.10650942338834e-20,1.27034702081241e-19,"11213","IRAK3","protein_coding","HGNC Symbol",3,"interleukin 1 receptor associated kinase 3 [Source:HGNC Symbol;Acc:HGNC:17020]"
"ENSG00000143436",474.05274192816,1.10724150352516,0.120550596513599,9.18486955309473,4.12026401234563e-20,1.27442931041662e-19,"65005","MRPL9","protein_coding","HGNC Symbol",11,"mitochondrial ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:14277]"
"ENSG00000182050",85.6615469387081,-7.94698774985971,0.865295480745616,-9.18413181010939,4.14860265219181e-20,1.28302084190652e-19,"25834","MGAT4C","protein_coding","HGNC Symbol",11,"MGAT4 family member C [Source:HGNC Symbol;Acc:HGNC:30871]"
"ENSG00000161551",100.640177342472,2.71260934265882,0.29538288572579,9.18336665305988,4.17819788791967e-20,1.2919986154843e-19,"84765","ZNF577","protein_coding","HGNC Symbol",18,"zinc finger protein 577 [Source:HGNC Symbol;Acc:HGNC:28673]"
"ENSG00000182287",352.72461349727,1.47453863117824,0.160568796689739,9.18322028673753,4.18388287219932e-20,1.29358133765317e-19,"8905","AP1S2","protein_coding","HGNC Symbol",11,"adaptor related protein complex 1 subunit sigma 2 [Source:HGNC Symbol;Acc:HGNC:560]"
"ENSG00000257210",180.06906469343,-9.61607002993709,1.0473145236633,-9.18164487617527,4.24555924862513e-20,1.31247281849847e-19,"NA","NACAP8","processed_pseudogene","HGNC Symbol",1,"NACA pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:49490]"
"ENSG00000270441",69.0897684387475,-2.84629405408425,0.310016675998674,-9.18109983895328,4.26710570067071e-20,1.3189550926931e-19,"NA","AC135506.1","unprocessed_pseudogene","Clone-based (Ensembl) gene",1,"laminin, beta 1 (LAMB1) pseudogene"
"ENSG00000227331",169.302330056337,-9.52281779869761,1.03733313186485,-9.18009606188723,4.30707032179528e-20,1.33112786579919e-19,"NA","RPL7AP22","processed_pseudogene","HGNC Symbol",1,"ribosomal protein L7a pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:36592]"
"ENSG00000166770",65.8562077722727,4.48769498152395,0.488859968311014,9.17991914336678,4.31415245268021e-20,1.33313617345275e-19,"NA","ZNF667-AS1","lncRNA","HGNC Symbol",17,"ZNF667 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:44321]"
"ENSG00000230097",88.3669707345906,-7.99312216842906,0.870736381492293,-9.17972688212502,4.32186181260434e-20,1.33533773422327e-19,"NA","ME2P1","processed_pseudogene","HGNC Symbol",1,"malic enzyme 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49809]"
"ENSG00000236636",48.0635871161442,-5.70578998785195,0.621605229052202,-9.17912160512534,4.34622146031558e-20,1.34268248902577e-19,"NA","AL627308.2","processed_pseudogene","Clone-based (Ensembl) gene",1,"novel pseudogene"
"ENSG00000129654",46.6149343319168,-4.25657096755195,0.46374672880338,-9.17865443177426,4.36511582566535e-20,1.34833708970288e-19,"2302","FOXJ1","protein_coding","HGNC Symbol",1,"forkhead box J1 [Source:HGNC Symbol;Acc:HGNC:3816]"
"ENSG00000231635",2823.8741998795,-11.9557204380352,1.30262442195535,-9.17817924838888,4.38441744450859e-20,1.35411593963922e-19,"NA","ATP5F1BP1","processed_pseudogene","HGNC Symbol",1,"ATP synthase F1 subunit beta pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:831]"
"ENSG00000188493",224.714342669486,2.44753626721466,0.266692231865936,9.17738117113593,4.41702480512719e-20,1.3640021141763e-19,"284325","C19orf54","protein_coding","HGNC Symbol",10,"chromosome 19 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:24758]"
"ENSG00000111331",581.539767123013,1.75748365001238,0.191560611369603,9.1745564886585,4.53437142801643e-20,1.40005003653794e-19,"4940","OAS3","protein_coding","HGNC Symbol",7,"2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088]"
