"Gene","Class","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Icosl","Pro-tumor myeloid / TAM recruitment",140.184812641028,-0.420252394040407,0.205532006818512,-2.04470535049802,0.0408839158178703,0.0664794943638773
"Pdgfc","Pro-tumor myeloid / TAM recruitment",2101.08806654697,-0.0386168430365126,0.0710084197165683,-0.54383470566804,0.586555224014824,0.663112307717955
"Stat3","Pro-tumor myeloid / TAM recruitment",16441.2652609764,0.148765361604649,0.0507541680312353,2.93109644735178,0.00337767897553967,0.00684149010081754
"Tgfb3","Pro-tumor myeloid / TAM recruitment",1457.19936671779,-0.27193163317242,0.088436603509166,-3.07487649211037,0.00210589741201005,0.00441879730629532
"Vegfa","Pro-tumor myeloid / TAM recruitment",15193.7274409478,0.342397381862671,0.066762068116856,5.12862155892716,2.91871407464181e-07,1.0513527112588e-06
"Vegfb","Pro-tumor myeloid / TAM recruitment",6069.39167126701,-0.202845736860774,0.0629872819250148,-3.22042372144679,0.0012800125131246,0.00279147120116622
"Wnt5a","Pro-tumor myeloid / TAM recruitment",1501.25592357873,-0.132991847422502,0.0779038812071139,-1.7071273646679,0.0877983818892217,0.131627502297608
"Cnot1","RNA homeostasis / decay",47075.0583790793,-0.36772282682542,0.0534660253725418,-6.87769147347671,6.08302336532377e-12,3.48515726778824e-11
"Cnot10","RNA homeostasis / decay",2429.46792732038,0.271209431321102,0.0763521055134394,3.55208843943883,0.000382186380499499,0.000912680267940008
"Cnot11","RNA homeostasis / decay",2196.97264278071,-0.097028627824003,0.0725472722845146,-1.33745383897382,0.181074540469605,0.248125120286061
"Cnot2","RNA homeostasis / decay",4538.61475407234,0.165598376308554,0.0626228683124607,2.64437546172894,0.00818418174108653,0.0155332007078869
"Cnot3","RNA homeostasis / decay",5306.98587625751,0.0783592782153951,0.0759003447069726,1.03239686878783,0.301886238198926,0.382363791626924
"Cnot7","RNA homeostasis / decay",5002.14513528391,0.0172346931331602,0.0597652583272453,0.288373105304615,0.773061152556987,0.824434121139125
"Cnot8","RNA homeostasis / decay",3805.43926956062,-0.238682736293164,0.0665567353489544,-3.58615450475087,0.000335590173965012,0.000808861128203078
"Cnot9","RNA homeostasis / decay",3504.12742566109,-0.070906750926591,0.0629708391641733,-1.12602518670154,0.260154858533635,0.337064161914257
"Ddx1","RNA homeostasis / decay",8646.95017844639,0.538110339180265,0.0544883820985701,9.87568943058022,5.30667725615026e-23,7.08877740492676e-22
"Nono","RNA homeostasis / decay",19946.22583361,0.172820228243135,0.0627329704751155,2.75485485438137,0.00587181776793836,0.0114066284147593
"Sfpq","RNA homeostasis / decay",20953.1080745743,0.356219405211767,0.0713304160389891,4.99393421478235,5.91615569233274e-07,2.05900851654415e-06
"Ythdf1","RNA homeostasis / decay",7236.79612660454,-0.146059339523207,0.059707460085367,-2.44624941865519,0.0144351101115489,0.0260304093392755
"Ythdf2","RNA homeostasis / decay",4827.36685920012,0.170170681341533,0.0608196714742637,2.79795462909631,0.00514273360510596,0.0100790764057747
"Bgn","Tissue remodeling / EMT / stromal axis",79681.9318241094,1.21127374680031,0.0670243070720513,18.0721562029456,5.28088854812848e-73,7.02311443374113e-71
"Cdh11","Tissue remodeling / EMT / stromal axis",4399.86292965752,2.03841183948322,0.0801384867546438,25.436115929218,1.0056009687935e-142,7.19627207572793e-140
"Col1a1","Tissue remodeling / EMT / stromal axis",15143.7611097971,2.07994036092221,0.0919521837096007,22.6198038699221,2.76707226623304e-113,1.12388005451216e-110
"Col1a2","Tissue remodeling / EMT / stromal axis",103014.638064436,1.31896198784321,0.0641442538140065,20.5624340360664,5.95686026114168e-94,1.29738689861503e-91
"Col6a2","Tissue remodeling / EMT / stromal axis",6530.8968912864,1.12749716069514,0.0708163256372754,15.92142984755,4.4997508658837e-57,3.00543360055556e-55
"Col6a3","Tissue remodeling / EMT / stromal axis",10107.7600174261,1.04238917451983,0.063874977720754,16.3192099898163,7.20621338426839e-60,5.49720683953225e-58
"Emp3","Tissue remodeling / EMT / stromal axis",829.128329252677,0.637099826396089,0.0943809579191602,6.75030048902218,1.47539271297427e-11,8.17257710673694e-11
"Has2","Tissue remodeling / EMT / stromal axis",79.0634789740288,0.28082011730497,0.255190555759526,1.10043303314718,0.2711434924001,0.349463499467299
"Itgb8","Tissue remodeling / EMT / stromal axis",648.25486581806,-0.444879393857968,0.120771717470139,-3.68363887818327,0.000229927920220167,0.000568595817849049
"P2rx7","Tissue remodeling / EMT / stromal axis",40.8924922475928,-0.718256890290746,0.359040011477846,-2.00049261176861,0.0454470969224812,0.0729678389477614
"Pdgfrb","Tissue remodeling / EMT / stromal axis",14587.4757626153,0.229873951479652,0.0601133861193935,3.82400603790794,0.000131300696995827,0.000336893780852533
"Postn","Tissue remodeling / EMT / stromal axis",71.6096337709175,3.42591323861204,0.758260154294138,4.51812378536654,6.23900082185796e-06,1.90995527298597e-05
"Ptgir","Tissue remodeling / EMT / stromal axis",136.711878453551,-0.262056772897902,0.224309804580791,-1.16828051001897,0.242693634362201,0.317977326695305
"Slc7a2","Tissue remodeling / EMT / stromal axis",NA,NA,NA,NA,NA,NA
"Spp1","Tissue remodeling / EMT / stromal axis",195068.7875338,1.32601712599815,0.0738237948260788,17.9619203960201,3.87177609515551e-72,4.80868191388405e-70
"Timp1","Tissue remodeling / EMT / stromal axis",6422.58807804755,0.816271888868272,0.0619417780625097,13.1780506533816,1.17384822787679e-39,3.86008559486485e-38
"Tnfaip6","Tissue remodeling / EMT / stromal axis",50.1436708184448,1.1900584811836,0.333231396889456,3.57126757049962,0.000355257733208186,0.000852300960193585
"Cd274","Viral mimicry / dsRNA sensing / ISG",295.476030441518,0.721225814131335,0.151352963343653,4.76519123377693,1.88674617882039e-06,6.14654705729738e-06
"Cxcl10","Viral mimicry / dsRNA sensing / ISG",1093.19203162593,-0.26200361310821,0.108610227068456,-2.41232911651194,0.015850965902958,0.028358132808292
"Ddx60","Viral mimicry / dsRNA sensing / ISG",212.919498542323,2.15579340175807,0.199150560037387,10.8249427034167,2.62243119775549e-27,4.55079630945375e-26
"Eif2ak2","Viral mimicry / dsRNA sensing / ISG",3331.54631389241,0.695540630770425,0.0731922870082051,9.50292249636157,2.04080783996819e-21,2.45550522170071e-20
"Herc6","Viral mimicry / dsRNA sensing / ISG",543.760900238873,0.394040495712904,0.120678141110414,3.26521847359563,0.0010937967591275,0.00241271686886481
"Ifih1","Viral mimicry / dsRNA sensing / ISG",1790.76299547196,1.24620251709645,0.0764066823528246,16.3101247001125,8.36218598103122e-60,6.34681469307763e-58
"Ifit2","Viral mimicry / dsRNA sensing / ISG",2627.5577685499,0.0737634706847351,0.0711525048862326,1.0366953461818,0.299877861581386,0.380364998636484
"Il15","Viral mimicry / dsRNA sensing / ISG",87.4476779990869,0.328063110730493,0.280929910197022,1.16777565799389,0.242897269370306,0.318188647497991
"Oas2","Viral mimicry / dsRNA sensing / ISG",166.103926169497,4.52643262052827,0.275993699938436,16.4004925530472,1.89693799310642e-60,1.50037811370544e-58
"Oasl1","Viral mimicry / dsRNA sensing / ISG",543.168169249719,0.78867368736198,0.124368552012344,6.34142373293612,2.27651448376542e-10,1.13170557929298e-09
"Parp12","Viral mimicry / dsRNA sensing / ISG",2115.17833912911,1.35895936555187,0.0728672978756947,18.6497839932275,1.26788483650186e-77,1.84988090514077e-75
"Samd9l","Viral mimicry / dsRNA sensing / ISG",1565.96779735731,1.7194107275226,0.0765062055251505,22.4741341662457,7.43389980092733e-112,2.86452938995733e-109
"Trim14","Viral mimicry / dsRNA sensing / ISG",29.4741955877225,-0.204233854706988,0.415219154586543,-0.49187002201369,0.622811231842317,0.696036825472324
"Trim21","Viral mimicry / dsRNA sensing / ISG",393.485302212533,0.647837936746695,0.139349569390264,4.64901283571498,3.33527458919902e-06,1.05765998156748e-05
"Trim26","Viral mimicry / dsRNA sensing / ISG",2580.81764450705,0.0632044413943408,0.0696591566724513,0.907338595721714,0.364227770090058,0.447300394615788
"Ube2l6","Viral mimicry / dsRNA sensing / ISG",492.438847022222,0.904188362269746,0.124896595490189,7.23949567016637,4.50356257699054e-13,2.85567672603434e-12
