"ensembl_gene_id","sample.shrubr5_3_jw","sample.shrubr5_2_jw","sample.shrubr5_1_jw","sample.jw23.3_3","sample.jw23.3_2","sample.jw23.3_1"
"ENSMUSG00000025270",11.0818372913815,5.19945708218712,17.6623241026202,25.0697524148488,16.9993913660416,17.7185878175968
"ENSMUSG00000025271",81.2668068034642,71.4925348800729,70.6492964104809,43.6399393888109,56.3104839000128,51.4682788987334
"ENSMUSG00000025272",7.38789152758766,7.79918562328068,7.84992182338676,23.2127337174526,16.9993913660416,11.8123918783978
"ENSMUSG00000025277",268.734554316001,280.770682438104,343.434079773171,389.973926453203,336.800441439699,395.715127926327
"ENSMUSG00000025278",40804.2483933076,39584.7666309611,41779.2464245202,52852.6091465935,53385.5261230933,50606.8180338874
"ENSMUSG00000025280",3468.6150722024,3292.55619729499,3724.78790519702,3454.05477715695,3527.37370845363,3450.90591304622
"ENSMUSG00000025283",5406.08962531227,5295.64703820758,5131.8863920391,7074.31272773085,6464.01856693732,5706.22901954318
"ENSMUSG00000025287",5959.25800344039,6096.3634288644,5885.47888708422,4563.62344885118,4530.33779905009,4450.7405113249
"ENSMUSG00000025289",1701.98551066801,1917.2997990565,1736.79520342432,1259.05867683463,1262.20480892859,1270.6758692048
"ENSMUSG00000025290",107203.846983943,103363.906929609,96847.4292558063,96241.8510112558,99019.3297832716,101700.47536162
"ENSMUSG00000025314",265.040608552207,336.664846071616,395.439811853108,580.318342936315,581.166692326547,598.213274413147
"ENSMUSG00000025316",2899.74742457815,2816.80587427487,2923.11463898365,5334.2862082706,5476.99140574653,5548.44921373887
"ENSMUSG00000025318",48.9447813702682,84.4911775855407,53.968212535784,64.9956544088673,89.2468046717184,82.6867431487848
"ENSMUSG00000025321",470.054598442765,547.242857900194,630.937466554711,808.731642716048,675.725806800154,756.83682249449
"ENSMUSG00000025323",481.136435734146,521.245572489259,576.969254018927,698.239030220974,825.532943213395,737.430750122836
"ENSMUSG00000025324",2843.4147516803,3330.25226114085,3235.14903146327,2087.28901587334,2212.04580150616,2268.82298292941
"ENSMUSG00000025326",5972.18681361367,6362.83560432649,6252.46273232756,8325.0148204272,8495.44583517929,9718.2235468133
"ENSMUSG00000025332",6896.59674100308,7383.22905670571,7380.8889944394,6902.5384982217,6995.24954712612,7236.77751007273
"ENSMUSG00000025337",8230.11116173265,7632.80299665069,7828.33453837245,10501.4407337756,10314.3807113457,10608.3716490783
"ENSMUSG00000025340",2202.51516166207,2304.65935167944,2227.41531738599,3156.93178557355,2972.76856513653,2977.56649563328
"ENSMUSG00000025347",21.2401881418145,31.1967424931227,16.6810838746969,3.71403739479241,2.1249239207552,3.37496910811367
"ENSMUSG00000025348",373.088522143177,393.858873975674,426.839499146655,808.731642716048,589.666388009568,584.713397980693
"ENSMUSG00000025350",56.3326728978559,55.8941636335115,78.4992182338676,101.207519008093,93.4966525132288,110.530238290723
"ENSMUSG00000025351",43419.5619940736,42999.5100696875,42523.0265172861,45416.1777728703,43007.3976941249,42715.2965168406
"ENSMUSG00000025352",1063.85637997262,1152.97960797499,1023.43355772405,1595.17906106334,1760.49946834568,1929.63858756399
"ENSMUSG00000025353",524.540298458723,464.0515445852,468.051588719436,861.65667559184,727.786442858656,648.837811034853
"ENSMUSG00000025354",3126.00160261053,3152.17085607594,3011.42625949675,2611.89679788777,2780.46295030818,2678.88172956522
"ENSMUSG00000025355",1019.5290308071,1163.37852213937,1184.35695510348,416.900697565449,424.98478415104,445.495922271004
"ENSMUSG00000025357",881.006064664828,764.320191081507,837.979154646537,978.648853527801,1016.77609608136,995.615886893532
"ENSMUSG00000025358",3286.68824333556,2898.69732331932,3337.1980151673,4469.84400463267,4366.71865715194,4481.95897557495
"ENSMUSG00000025359",9.23486440948457,10.3989141643742,5.88744136754007,36.211864599226,33.9987827320832,17.7185878175968
"ENSMUSG00000025362",57838.8792830428,56997.7483992057,54811.0978915701,39837.6936058921,39447.0876648995,38164.9944168264
"ENSMUSG00000025364",41754.5159410435,40589.5617120937,41254.2829025812,34274.9940978418,38263.5050410389,42733.0151046582
"ENSMUSG00000025366",5160.44223201998,5082.46929783791,5098.5242242897,3858.88485318932,3819.55074755747,3697.27865793852
"ENSMUSG00000025369",7905.04393451879,7934.37150741754,7948.0458461791,4692.68624832022,5654.42255312959,5934.03943434086
"ENSMUSG00000025371",1062.00940709073,1116.58340839968,1078.38301048776,737.236422866294,569.479610762394,628.58799638617
"ENSMUSG00000025372",4139.98971477193,3902.19254018143,3972.0604426337,5507.91745647715,5280.43594307667,4817.76840183226
"ENSMUSG00000025373",3917.42948250335,4136.16810887985,4220.31422029831,3253.49675783816,3924.73448163486,3388.46898454612
"ENSMUSG00000025374",1840.50847681027,1987.49246966603,1745.62636547563,1970.29683793738,2065.42605097405,2440.10266516618
"ENSMUSG00000025377",909.63414433423,817.614626173925,935.121937210948,1153.20861108304,1087.96104742666,988.022206400276
"ENSMUSG00000025380",71.1084559530312,81.8914490444471,103.030223931951,130.919818166433,159.36929405664,129.092568385348
"ENSMUSG00000025381",2095.39073451205,2468.44224976833,2174.42834507813,861.65667559184,781.972002837914,797.336451791854
"ENSMUSG00000025384",761.876313782477,587.538650287144,775.179780059443,1041.78748923927,1196.33216738518,1071.55269182609
"ENSMUSG00000025393",116437.787906986,112396.663745639,112365.743460414,137464.880565406,129703.231198977,120708.301378516
"ENSMUSG00000025395",2433.38677189918,2377.45175083006,2640.51745334172,2995.37115890008,2969.58117925539,2919.34827851832
"ENSMUSG00000025401",33.2455118741444,55.8941636335115,39.2496091169338,188.487397785715,207.180082273632,206.716857871962
"ENSMUSG00000025402",8339.08256176457,8043.56010614347,8211.99946749048,3830.10106337968,4132.97702586886,4341.89775758823
"ENSMUSG00000025403",27170.8180655855,28026.3735372591,30023.0072537706,15010.2821310535,16775.2118924019,16862.1894064129
"ENSMUSG00000025404",6879.973985066,6807.38918485349,6252.46273232756,4339.85269581494,4658.89569625578,5106.32826057598
"ENSMUSG00000025407",60.9501051025982,42.8955209280437,78.4992182338676,564.533684008447,568.417148802016,486.839293845396
"ENSMUSG00000025408",11007.9583761056,10177.9372383813,11106.6581398643,16078.0678820564,14567.4159387373,13937.7786742324
"ENSMUSG00000025409",6206.75236961458,5676.50726947779,6049.34600514742,6605.41550663831,8167.14508942261,8232.39339696626
"ENSMUSG00000025410",10032.756694464,11211.329333466,10261.8103036223,7613.77665932445,7910.02929501123,7775.08508281686
"ENSMUSG00000025413",2603.3082770337,2757.01211782972,2714.11047043597,3066.86637874984,2934.51993456293,3329.40702515413
"ENSMUSG00000025417",6127.33253569301,5914.38243098785,6171.01979340992,10317.5958827333,10599.1205167269,9974.72119902994
"ENSMUSG00000025420",72.0319423939796,49.3948422807776,57.8931734474774,37.1403739479241,58.435407820768,30.374721973023
"ENSMUSG00000025421",2682.72811095527,2919.49515164807,2610.0990062761,2665.75034011226,2377.78986732507,2715.16264747745
"ENSMUSG00000025422",98.8130491814849,90.9904989382746,55.9306929916307,123.491743376848,111.558505839648,107.999011459637
"ENSMUSG00000025423",8181.16638036238,7959.06892855793,7990.2391759798,7603.56305648877,8023.71272477164,8247.58075795277
"ENSMUSG00000025427",1071.24427150021,1111.3839513175,1167.67587122878,1281.34290120338,1351.45161360031,1271.51961148182
"ENSMUSG00000025428",89003.7762057304,86713.9454881757,86854.4787746349,92683.8031870447,92586.1226131852,98599.7224935408
