"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","external_gene_source","transcript_count","description"
"ENSMUSG00000054072",275.100634249863,4.11199097687222,0.211733218548296,6.01455720205528e-85,1.06337371332337e-82,"60440","Iigp1","protein_coding","MGI Symbol",5,"interferon inducible GTPase 1 [Source:MGI Symbol;Acc:MGI:1926259]"
"ENSMUSG00000019461",1625.59756690146,1.55013743324214,0.0798786080695324,7.54480593892878e-85,1.318410972677e-82,"70310","Plscr3","protein_coding","MGI Symbol",4,"phospholipid scramblase 3 [Source:MGI Symbol;Acc:MGI:1917560]"
"ENSMUSG00000024330",1255.70033360214,-1.73940546587419,0.0897327215052956,1.07012993980045e-84,1.84849571670359e-82,"12815","Col11a2","protein_coding","MGI Symbol",12,"collagen, type XI, alpha 2 [Source:MGI Symbol;Acc:MGI:88447]"
"ENSMUSG00000039385",9447.15414888228,1.48972503167629,0.0770123439497364,2.40071089749855e-84,4.09975947359184e-82,"12563","Cdh6","protein_coding","MGI Symbol",2,"cadherin 6 [Source:MGI Symbol;Acc:MGI:107435]"
"ENSMUSG00000023191",1277.81947978436,1.70453269204911,0.0882322868210237,3.50272869669856e-84,5.91449515213326e-82,"14789","P3h3","protein_coding","MGI Symbol",7,"prolyl 3-hydroxylase 3 [Source:MGI Symbol;Acc:MGI:1315208]"
"ENSMUSG00000028967",8159.95139148433,1.24342578529618,0.0644356286811305,8.11913791546006e-84,1.35571560659482e-81,"74155","Errfi1","protein_coding","MGI Symbol",3,"ERBB receptor feedback inhibitor 1 [Source:MGI Symbol;Acc:MGI:1921405]"
"ENSMUSG00000017314",501.665002912164,-2.45002409527078,0.128522926429151,2.69632558296705e-82,4.45278910558559e-80,"50997","Mpp2","protein_coding","MGI Symbol",6,"membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2) [Source:MGI Symbol;Acc:MGI:1858257]"
"ENSMUSG00000040296",4580.25878016042,1.12653941525928,0.0592822457879994,2.56827524883989e-81,4.19522178690934e-79,"230073","Ddx58","protein_coding","MGI Symbol",10,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 [Source:MGI Symbol;Acc:MGI:2442858]"
"ENSMUSG00000034459",2052.60060852867,1.43925197541144,0.0758323031998232,2.6532754274364e-81,4.28746485199078e-79,"15957","Ifit1","protein_coding","MGI Symbol",1,"interferon-induced protein with tetratricopeptide repeats 1 [Source:MGI Symbol;Acc:MGI:99450]"
"ENSMUSG00000021112",2938.59558008242,-1.29482259339568,0.0682385938289438,3.46909800913967e-81,5.54612817886712e-79,"56217","Mpp5","protein_coding","MGI Symbol",5,"membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5) [Source:MGI Symbol;Acc:MGI:1927339]"
"ENSMUSG00000046027",2803.06105945862,1.43590618596042,0.0760074860990086,1.47807150986245e-80,2.33815354212767e-78,"170460","Stard5","protein_coding","MGI Symbol",5,"StAR-related lipid transfer (START) domain containing 5 [Source:MGI Symbol;Acc:MGI:2156765]"
"ENSMUSG00000019810",1393.56807088955,-1.46414761762296,0.0776134656578309,2.5129722618051e-80,3.93384866150073e-78,"66848","Fuca2","protein_coding","MGI Symbol",6,"fucosidase, alpha-L- 2, plasma [Source:MGI Symbol;Acc:MGI:1914098]"
"ENSMUSG00000000902",3761.79356196273,1.25196943289715,0.0663658729998481,2.84271617915099e-80,4.40415863301866e-78,"20587","Smarcb1","protein_coding","MGI Symbol",6,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 [Source:MGI Symbol;Acc:MGI:1328366]"
"ENSMUSG00000040560",8761.10161330909,-1.31161946591937,0.069890150657608,1.69261346709685e-79,2.59557093709504e-77,"104082","Wdr7","protein_coding","MGI Symbol",6,"WD repeat domain 7 [Source:MGI Symbol;Acc:MGI:1860197]"
"ENSMUSG00000026640",1587.63071847235,-1.51128163959011,0.0808117451713175,5.4593551269835e-79,8.28719079275839e-77,"18845","Plxna2","protein_coding","MGI Symbol",5,"plexin A2 [Source:MGI Symbol;Acc:MGI:107684]"
"ENSMUSG00000039997",421.226606085954,3.16759266904009,0.169997873175564,9.74333539577698e-79,1.46422844327736e-76,"15950","Ifi203","protein_coding","MGI Symbol",9,"interferon activated gene 203 [Source:MGI Symbol;Acc:MGI:96428]"
"ENSMUSG00000078606",279.937940855117,3.1216848976788,0.167707485175288,2.26157396575253e-78,3.36504292646821e-76,"100042856","Gm4070","protein_coding","MGI Symbol",4,"predicted gene 4070 [Source:MGI Symbol;Acc:MGI:3782245]"
"ENSMUSG00000022479",1689.73031375312,1.98128294668086,0.106926405031177,9.45348382352241e-78,1.3928132833323e-75,"22337","Vdr","protein_coding","MGI Symbol",6,"vitamin D (1,25-dihydroxyvitamin D3) receptor [Source:MGI Symbol;Acc:MGI:103076]"
"ENSMUSG00000038507",2115.17833912911,1.35277001824785,0.0729772449631734,1.26788483650186e-77,1.84988090514077e-75,"243771","Parp12","protein_coding","MGI Symbol",2,"poly (ADP-ribose) polymerase family, member 12 [Source:MGI Symbol;Acc:MGI:2143990]"
