"comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_mouse_KD","pathway_id_mouse_KO","pathway_id_mouse_het","pathway_name_mouse_KD","pathway_name_mouse_KO","pathway_name_mouse_het","NES_mouse_het","padj_mouse_het","signed_log10padj_mouse_KD","signed_log10padj_mouse_KO","signed_log10padj_mouse_het","significant_mouse_KD","significant_mouse_KO","significant_mouse_het","leading_edge_mouse_het","delta_NES_KO_minus_het","delta_NES_KD_minus_het","delta_NES_KO_minus_KD","abs_delta_NES_KO_minus_het","abs_delta_NES_KD_minus_het","abs_delta_NES_KO_minus_KD","direction_pattern"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-72203","Processing of Capped Intron-Containing Pre-mRNA","either",0.05,"shared negative",1.10024187980992,1.10024187980992,-1.76716419280381,-0.666922312993886,8.2878577444323e-05,1,"67197/28035/210529/53317/66070/69833/56194/68598/67958/101943/21681/69241/108121/20630/28000/70052/83410/66354/64340/73666/68592/269966/66101/75210/13684/69192/53319/433702/66642/67480/83486/67285/227707/68816/60321/22186/320632/209416/70699/192160/67039/19826/53379/94315/71713/27967/69757/69207/67465/212880/20220/18949/107939/54188/70044/237859/13204/76479/56258/69482/54723/24010/73826/98758/192159/209003/330361/67337/193116/67332/19205/227720/98053/67418/69823/67797/66801/22190/231329/60365/66118/19647/74255/67678/545085/67710/74320/66877/51796/72198/20641/238831/17149/208768/108160/70767/27366/68879/74737/228410/68183/18141","66354/209416/53607/69912/66983/66420/67332/67465/66511/19069/210529/20630/66070/67225/66125/77644/69920/20637/69878/108062/236732/66491/193116/68988/231042/54633/107701/59013/22187/217207/17749/67178/72047/74351/237859/20624/94230/67197/103468/107829/192160/18141/19655/18521/20826/72787/53817/192170/68479/67959/545085/21681/170762/445007/69833/15382/73826/223921","R-MMU-72203","R-MMU-72203","R-MMU-72203","Processing of Capped Intron-Containing Pre-mRNA","Processing of Capped Intron-Containing Pre-mRNA","Processing of Capped Intron-Containing Pre-mRNA",-0.877654694376332,0.984455536513687,-4.08155771191089,0,-0.00680389423670546,TRUE,FALSE,FALSE,"72047/69192/19069/68479/78294/66125/66983/18521/67465/20382/15382/67480/59013/20630/545085/22187/17749/69833/94230/67178/192170/20020/237859/170762/20624/21681/192160/217207/67959/445007/193116/107829/223921/192159/73826",0.210732381382446,-0.889509498427478,1.10024187980992,0.210732381382446,0.889509498427478,1.10024187980992,"all negative"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-72172","mRNA Splicing","either",0.05,"shared negative",1.07661817867912,1.07661817867912,-1.76150509354399,-0.684886914864866,0.000287388282485735,1,"72654/67197/28035/53317/66070/69833/56194/67958/101943/21681/69241/108121/20630/28000/70052/66354/64340/68592/66101/69192/433702/66642/67480/83486/67285/227707/68816/60321/320632/209416/192160/67039/19826/53379/94315/71713/27967/69757/69207/67465/212880/20220/18949/237859/13204/76479/56258/54723/24010/98758/192159/209003/330361/193116/67332/19205/98053/67418/67797/66801/231329/60365/74255/67678/545085/67710/66877/51796/72198/20641/238831/17149/208768/108160/70767/27366/68879/68183","68816/66585/67050/66810/60365/72886/107686/66177/68092/66094/67684/18949/72198/76522/67418/24010/20020/67480/72459/51796/71713/74326/108014/76167/192159/53317/75062/66801/20382/15388/66354/209416/53607/66983/66420/67332/67465/20630/66070/67225/66125/77644/69920/20637/69878/236732/66491/193116/68988/54633/107701/59013/217207/17749/67178/72047/74351/237859/20624/67197/192160/19655/18521/20826/53817/192170/68479/67959/545085/21681/69833/15382","R-MMU-72172","R-MMU-72172","R-MMU-72172","mRNA Splicing","mRNA Splicing","mRNA Splicing",-0.998272538653927,0.907758914054524,-3.54153094307559,0,-0.0420294776883466,TRUE,FALSE,FALSE,"53817/78372/20826/19655/74351/72047/69192/68479/66125/66983/18521/67465/20382/15382/67480/59013/20630/545085/17749/69833/67178/192170/20020/237859/20624/21681/192160/217207/67959/193116/192159",0.313385623789061,-0.763232554890063,1.07661817867912,0.313385623789061,0.763232554890063,1.07661817867912,"all negative"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-9948299","Ribosome-associated quality control","either",0.05,"shared positive",-1.06727472033503,1.06727472033503,1.98297419952164,0.91569947918661,6.9895883189116e-05,1,"27207/26444/27050/27370/20091/66855/68028/26961/20085/67427/20103/59029/27367/19934/16898/268449/75452/76808/270106/216080/56040/67115/269261/16785/20102/67281/19181/77987/19981/67891/11837/67673/100043813/20090/19944/68052/20116/19982/20104/19167/67097/100502825/71745/19173/22121/67089/19943/20084/100503670/75617/67025/17463/66480/56550/66105/19942/22123/19988/20115/76846/54127/20005/26441/57294/19170/70247/78294/213753/110954/19989","269261/26444/270106/57296/14109/59029/19182/66481/67089/17463/24015/20088/76808/100503670/66855/20044/16898/66480/20005/22186/20042/67427/19177/20084/77987","R-MMU-9948299","R-MMU-9948299","R-MMU-9948299","Ribosome-associated quality control","Ribosome-associated quality control","Ribosome-associated quality control",1.47473403809184,0.176577582575105,4.15554840309412,0,0.753064433158828,TRUE,FALSE,FALSE,"57296/14109/20042/20088/67427/21762/76808/57294/22121/17463/24015/67248/66105/19167/20085/20103/66855/20091/20115/100503670/68098/270106/75617/22186/26442/68028/66475/16898/27050/20102/66481/269261/20090/20005/70247/19981/67923/19989/16785/66480/54127/19172/19934/267019/19933/26440/110954/19982/19988/67115/67891",-0.55903455890523,0.5082401614298,-1.06727472033503,0.55903455890523,0.5082401614298,1.06727472033503,"all positive"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","either",0.05,"shared positive",-1.05665219219677,1.05665219219677,2.08946682607426,1.03281463387749,8.84385490713248e-05,0.994351793325878,"27207/27050/27370/20091/68028/18458/26961/20085/67427/20103/27367/19934/16898/268449/68092/76808/270106/56040/14852/67115/269261/16785/208643/20102/67281/19981/67891/11837/100043813/20090/19944/68052/20116/19982/20104/67097/100502825/22121/19943/20084/100503670/75617/67025/66480/19942/19988/20115/76846/54127/20005/57294","269261/270106/14109/66481/20088/76808/100503670/20044/16898/66480/20005/22186/20042/67427/20084/19704/67097/19989/67025/20104/75617/267019/54127/225363/67248/20115/19988/19981/100043813/19934/68028/68193/27050/16785/57294/66475","R-MMU-975956","R-MMU-975956","R-MMU-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",1.79542180990598,0.0479801256524487,4.05335839109882,0.00245993867056008,1.31893861901734,TRUE,FALSE,TRUE,"14109/20042/20088/67427/76808/57294/22121/14852/67248/20085/20103/208643/20091/20115/100503670/270106/75617/22186/68028/66475/16898/27050/20102/66481/269261/20090/20005/19981/19989/16785/66480/54127/19934/267019/19933/68092/110954/19982/19988/67115/67891",-0.76260717602849,0.29404501616828,-1.05665219219677,0.76260717602849,0.29404501616828,1.05665219219677,"all positive"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-9954709","Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide","either",0.05,"shared positive",-0.954757383660419,0.954757383660419,1.67881900263818,0.724061618977761,0.0222800064908169,1,"26444/66855/68028/26961/59029/27367/19934/268449/76808/270106/216080/56040/67115/269261/67281/19181/19981/67891/11837/67673/19944/19982/19167/100502825/71745/19173/22121/67089/19943/100503670/67025/17463/66480/56550/19942/22123/19988/20005/26441/19170/70247/78294/110954/19989","269261/26444/270106/57296/59029/19182/67089/17463/76808/100503670/66855/66480/20005/22186/19177","R-MMU-9954709","R-MMU-9954709","R-MMU-9954709","Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide","Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide","Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide",0.986518475090257,0.907758914054524,1.65208468697562,0,0.0420294776883466,TRUE,FALSE,FALSE,"57296/21762/76808/22121/17463/67248/19167/66855/100503670/68098/270106/22186/26442/68028/269261/20005/70247/19981/67923/19989/66480/19172/19934/19933/26440/110954/19982/19988/67115/67891",-0.262456856112496,0.692300527547923,-0.954757383660419,0.262456856112496,0.692300527547923,0.954757383660419,"all positive"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-72187","mRNA 3'-end processing","either",0.05,"shared negative",0.866183922110097,0.866183922110097,-1.53748952011127,-0.671305598001173,0.0265712487238749,1,"69833/56194/68598/67958/101943/21681/69241/108121/20630/83410/64340/73666/75210/433702/83486/22186/192160/67039/19826/53379/71713/27967/69207/67465/212880/54188/70044/13204/76479/56258/73826/98758/67337/193116/67332/19205/98053/69823/22190/231329/60365/66118/19647/67710/74320/51796/20641/17149/74737/228410","68188/54451/22190/225160/20020/72459/51796/71713/74326/432508/108014/73666/75062/20382/15388/53607/66420/67332/67465/66511/20630/66125/69920/20637/69878/108062/236732/66491/193116/107701/59013/22187/17749/72047/94230/107829/192160/19655/18521/53817/192170/68479/67959/21681/69833/15382/73826","R-MMU-72187","R-MMU-72187","R-MMU-72187","mRNA 3'-end processing","mRNA 3'-end processing","mRNA 3'-end processing",-0.874296979747983,0.9680465816183,-1.57558803530952,0,-0.0141037442896962,TRUE,FALSE,FALSE,"72047/68479/78294/66125/18521/67465/20382/15382/59013/20630/22187/17749/69833/94230/192170/20020/21681/192160/67959/193116/107829/73826",0.20299138174681,-0.663192540363287,0.866183922110097,0.20299138174681,0.663192540363287,0.866183922110097,"all negative"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-927802","Nonsense-Mediated Decay (NMD)","either",0.05,"shared positive",-0.827656319385236,0.827656319385236,1.68465972251526,0.857003403130024,0.0160429571056766,1,"27207/27050/27370/20091/68028/18458/26961/20085/67427/20103/27367/19934/16898/268449/68092/76808/270106/67031/56040/14852/67115/269261/16785/208643/20102/67281/19981/67891/11837/100043813/52830/20090/19944/68052/20116/19982/20104/67097/100502825/22121/19943/20084/100503670/75617/67025/66480/19942/229512/192170/19988/20115/76846/54127/66441/20005/57294","269261/270106/14109/66481/20088/76808/226517/100503670/20044/16898/66480/20005/22186/20042/67427/20084/19704/326622/17149/67097/52830/19989/67025/66441/20104/75617/267019/233789/54127/225363/71978/67248/20115/19988/67031/19981/100043813/19934/68028/51792/68193/27050/16785/57294/66475","R-MMU-927802","R-MMU-927802","R-MMU-927802","Nonsense-Mediated Decay (NMD)","Nonsense-Mediated Decay (NMD)","Nonsense-Mediated Decay (NMD)",1.44302489026422,0.176577582575105,1.79471557767836,0,0.753064433158828,TRUE,FALSE,FALSE,"14109/20042/20088/67427/76808/57294/22121/14852/67248/20085/20103/208643/20091/20115/100503670/270106/75617/22186/68028/66475/16898/27050/20102/66481/269261/20090/20005/19981/60365/19989/16785/66480/54127/19934/267019/19933/68092/110954/51792/67031/19982/19988/67115/67891/52830/100043813",-0.586021487134196,0.24163483225104,-0.827656319385236,0.586021487134196,0.24163483225104,0.827656319385236,"all positive"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","either",0.05,"shared positive",-0.827656319385236,0.827656319385236,1.68465972251526,0.857003403130024,0.0160429571056766,1,"27207/27050/27370/20091/68028/18458/26961/20085/67427/20103/27367/19934/16898/268449/68092/76808/270106/67031/56040/14852/67115/269261/16785/208643/20102/67281/19981/67891/11837/100043813/52830/20090/19944/68052/20116/19982/20104/67097/100502825/22121/19943/20084/100503670/75617/67025/66480/19942/229512/192170/19988/20115/76846/54127/66441/20005/57294","269261/270106/14109/66481/20088/76808/226517/100503670/20044/16898/66480/20005/22186/20042/67427/20084/19704/326622/17149/67097/52830/19989/67025/66441/20104/75617/267019/233789/54127/225363/71978/67248/20115/19988/67031/19981/100043813/19934/68028/51792/68193/27050/16785/57294/66475","R-MMU-975957","R-MMU-975957","R-MMU-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)",1.44302489026422,0.176577582575105,1.79471557767836,0,0.753064433158828,TRUE,FALSE,FALSE,"14109/20042/20088/67427/76808/57294/22121/14852/67248/20085/20103/208643/20091/20115/100503670/270106/75617/22186/68028/66475/16898/27050/20102/66481/269261/20090/20005/19981/60365/19989/16785/66480/54127/19934/267019/19933/68092/110954/51792/67031/19982/19988/67115/67891/52830/100043813",-0.586021487134196,0.24163483225104,-0.827656319385236,0.586021487134196,0.24163483225104,0.827656319385236,"all positive"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-141424","Amplification of signal from the kinetochores","either",0.05,"shared negative",0.75148426482661,0.75148426482661,-1.66587398827837,-0.91438972345176,0.0368310977635968,1,"13424/269966/67139/103573/236930/52504/18221/56430/66977/26951/68549/107995/83431/76499/12237/228421/66934/52696/75786/12235/229841/68097/21770/26932/66140/70385/52276/16319/108000/12236/19387","107995/69928/83431/232987/12237/66140/67037/19387/18472/108911/19052/67139/216965/103468/208628/17120/67629/26886/70385/445007/66570","R-MMU-141424","R-MMU-141424","R-MMU-141424","Amplification of signal from the kinetochores","Amplification of signal from the kinetochores","Amplification of signal from the kinetochores",-1.12241146423261,0.785003811154921,-1.43378533665506,0,-0.105128234771265,TRUE,FALSE,FALSE,"107995/18817/13424/60411/12236/21770/69912/66336/19387/66468/232987/68097/103573/67733/17120/69928/66140/67052/108911/67629/83431/19052/67139/18472/70385/26886/208628/216965/20877/445007/66570",0.20802174078085,-0.54346252404576,0.75148426482661,0.20802174078085,0.54346252404576,0.75148426482661,"all negative"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","either",0.05,"shared negative",0.75148426482661,0.75148426482661,-1.66587398827837,-0.91438972345176,0.0368310977635968,1,"13424/269966/67139/103573/236930/52504/18221/56430/66977/26951/68549/107995/83431/76499/12237/228421/66934/52696/75786/12235/229841/68097/21770/26932/66140/70385/52276/16319/108000/12236/19387","107995/69928/83431/232987/12237/66140/67037/19387/18472/108911/19052/67139/216965/103468/208628/17120/67629/26886/70385/445007/66570","R-MMU-141444","R-MMU-141444","R-MMU-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal",-1.12241146423261,0.785003811154921,-1.43378533665506,0,-0.105128234771265,TRUE,FALSE,FALSE,"107995/18817/13424/60411/12236/21770/69912/66336/19387/66468/232987/68097/103573/67733/17120/69928/66140/67052/108911/67629/83431/19052/67139/18472/70385/26886/208628/216965/20877/445007/66570",0.20802174078085,-0.54346252404576,0.75148426482661,0.20802174078085,0.54346252404576,0.75148426482661,"all negative"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-5633007","Regulation of TP53 Activity","either",0.05,"shared negative",0.687184470879601,0.687184470879601,-1.58144345075331,-0.894258979873709,0.024198253453371,1,"29813/26909/328572/21981/108143/235610/108099/67338/99730/216848/24074/22186/114741/219024/66464/68275/234366/19367/20869/77976/17165/333654/13001/108079/21975/226182/209456/12566/107932/22190/18607/235559/78783/69181/15258/12534/209361/19891/19079/72119/228829/12428/12189/229542/228980/12144/117150/20878/53325","24075/15257/22059/229542/19079/12568/70088/11920/12649/17535/26399/12189/66464/17192/22187/19052/12569/328572/106344/108083/216848/19082/223770/78757/19355/68275/19094/105787/69263/19718/21343/29813/70439/20393","R-MMU-5633007","R-MMU-5633007","R-MMU-5633007","Regulation of TP53 Activity","Regulation of TP53 Activity","Regulation of TP53 Activity",-1.18557511998787,0.675299359509886,-1.616215978769,0,-0.170503662187791,TRUE,FALSE,FALSE,"78294/26399/21981/108099/19718/22187/21975/19052/69263/237911/12569/22059/11920/216848/19082/20393/105787/20877/223770/328572/78757/12450/12189/68275/70439/29813",0.291316140114161,-0.39586833076544,0.687184470879601,0.291316140114161,0.39586833076544,0.687184470879601,"all negative"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-3700989","Transcriptional Regulation by TP53","either",0.05,"shared negative",0.651068514528847,0.651068514528847,-1.38689062634602,-0.735822111817173,0.0432176230541043,1,"12866/216456/223770/11920/209357/19052/19352/23942/327762/21374/69241/270627/69125/13871/13197/57913/53621/29813/26909/27224/328572/268706/21981/108961/108143/235610/66467/108099/67338/99730/216848/24074/22186/114741/219024/20922/69076/66464/68275/234366/19367/20869/233058/14884/77976/68428/17165/333654/24116/17420/13001/108079/72949/64930/21975/226182/98053/234594/209456/22629/12566/225655/20620/110323/107932/22190/18607/231329/20924/268697/235559/78783/69181/12455/15258/67710/12534/67655/209361/22627/54170/19891/19079/72119/228829/12428/12189/229542/319801/228980/12144/52679/117150/20878/13716/56692/53325/52187","15257/22059/69920/12455/229542/19079/12568/70088/66096/66491/11920/12649/69125/12028/27632/17535/26399/12189/68742/83409/14381/66464/55948/66671/17192/22187/17749/19052/12864/12569/328572/106344/108083/104625/216848/19082/75747/223770/78757/19355/68275/19094/105787/69263/19718/20922/21343/29813/70439/68428/16009/69833/22631/74747/20393","R-MMU-3700989","R-MMU-3700989","R-MMU-3700989","Transcriptional Regulation by TP53","Transcriptional Regulation by TP53","Transcriptional Regulation by TP53",-1.02739454491689,0.871936237789896,-1.36433912275758,0,-0.0595152726230296,TRUE,FALSE,FALSE,"22627/69125/78294/26399/21981/108099/66671/19718/75747/22187/21975/19052/69263/17749/237911/69833/12569/22059/104625/12864/11920/216848/20020/19082/20393/69131/105787/20877/223770/22631/328572/78757/12450/12189/68275/20922/70439/29813/68428/16009",0.291572433099717,-0.35949608142913,0.651068514528847,0.291572433099717,0.35949608142913,0.651068514528847,"all negative"
