"experiment","condition","sample","sample_label","ensembl_gene_id","entrezgene_id","external_gene_name","gene_biotype","normalized_count"
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000301","18618","Pemt","protein_coding",196.703161781539
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000301","18618","Pemt","protein_coding",243.064197333375
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000301","18618","Pemt","protein_coding",162.888913695315
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000301","18618","Pemt","protein_coding",76.1394897753041
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000301","18618","Pemt","protein_coding",97.7464308456741
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000301","18618","Pemt","protein_coding",75.9347439940104
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000317","12029","Bcl6b","protein_coding",1219.00550963208
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000317","12029","Bcl6b","protein_coding",1388.1955227382
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000317","12029","Bcl6b","protein_coding",1328.62403098468
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000317","12029","Bcl6b","protein_coding",845.891160796367
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000317","12029","Bcl6b","protein_coding",889.280028454665
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000317","12029","Bcl6b","protein_coding",811.6580413582
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000325","11877","Arvcf","protein_coding",324.144646879438
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000325","11877","Arvcf","protein_coding",335.350603807544
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000325","11877","Arvcf","protein_coding",299.283847452235
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000325","11877","Arvcf","protein_coding",502.334926444385
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000325","11877","Arvcf","protein_coding",528.043218807609
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000325","11877","Arvcf","protein_coding",458.983341474907
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000326","12846","Comt","protein_coding",5241.72369141792
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000326","12846","Comt","protein_coding",5603.47462408652
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000326","12846","Comt","protein_coding",5340.00884536087
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000326","12846","Comt","protein_coding",5556.32569287098
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000326","12846","Comt","protein_coding",5671.41791145878
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000326","12846","Comt","protein_coding",5269.87123318432
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000339","66368","Rtca","protein_coding",3288.54440893926
