"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","description"
"ENSG00000065057",205.119127326259,0.773239807552972,0.210210981097467,3.67839873785874,0.000234702838358248,0.000314908831233934,"4913","NTHL1","protein_coding","nth like DNA glycosylase 1 [Source:HGNC Symbol;Acc:HGNC:8028]"
"ENSG00000137207",3398.67589379191,-0.297521076177972,0.0809003364263637,-3.67762470862873,0.000235415986205745,0.000315847130878988,"25844","YIPF3","protein_coding","Yip1 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:21023]"
"ENSG00000156471",2385.101087403,0.412029563474352,0.112134004721824,3.67443902941388,0.000238372555539056,0.000319795042055716,"9791","PTDSS1","protein_coding","phosphatidylserine synthase 1 [Source:HGNC Symbol;Acc:HGNC:9587]"
"ENSG00000162641",20.090634218251,-2.03378868821949,0.553565798923977,-3.67397821934227,0.000238803097803862,0.000320353829705868,"254268","AKNAD1","protein_coding","AKNA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28398]"
"ENSG00000120159",365.641204384603,0.620695120541758,0.168961343082346,3.67359248700606,0.00023916405460713,0.000320819208456023,"79886","CAAP1","protein_coding","caspase activity and apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:25834]"
"ENSG00000197385",40.1529449266519,1.68810922182083,0.459570960606435,3.67322865568629,0.000239504986161024,0.000321257671870067,"344787","ZNF860","protein_coding","zinc finger protein 860 [Source:HGNC Symbol;Acc:HGNC:34513]"
"ENSG00000247809",169.438670703988,0.93283455722967,0.253964228165729,3.67309429350394,0.000239631006754475,0.000321407831998206,"NA","NR2F2-AS1","lncRNA","NR2F2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44222]"
"ENSG00000267454",9.50377625271771,5.1876364701625,1.41259761172681,3.67240920351052,0.000240274532268049,0.00032225204313054,"NA","ZNF582-AS1","lncRNA","ZNF582 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:25213]"
"ENSG00000185306",36.489029428041,1.87535767173485,0.510701433252261,3.67212141895148,0.000240545340205762,0.000322596302111533,"115749","C12orf56","protein_coding","chromosome 12 open reading frame 56 [Source:HGNC Symbol;Acc:HGNC:26967]"
"ENSG00000007952",11.3887297270688,3.44657437261163,0.938602002903357,3.67202963764238,0.000240631767476561,0.000322693261546425,"27035","NOX1","protein_coding","NADPH oxidase 1 [Source:HGNC Symbol;Acc:HGNC:7889]"
"ENSG00000123610",12.1867316501906,3.54669685583579,0.96594283611523,3.67174611501823,0.000240898934923245,0.000323032572493659,"7130","TNFAIP6","protein_coding","TNF alpha induced protein 6 [Source:HGNC Symbol;Acc:HGNC:11898]"
"ENSG00000255394",10.5797350144575,4.44148976461605,1.20970243193435,3.67155562175236,0.000241078595743203,0.000323254508787589,"606553","C8orf49","lncRNA","chromosome 8 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:32200]"
