"experiment","condition","sample","sample_label","ensembl_gene_id","entrezgene_id","external_gene_name","gene_biotype","normalized_count"
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000001626","1080","CFTR","protein_coding",5.02974333717994
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000001626","1080","CFTR","protein_coding",7.4967018364043
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000001626","1080","CFTR","protein_coding",8.0433169445783
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000001626","1080","CFTR","protein_coding",465.563031955219
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000001626","1080","CFTR","protein_coding",386.991929019384
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000001626","1080","CFTR","protein_coding",487.718689997537
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000001629","54467","ANKIB1","protein_coding",2235.36164599526
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000001629","54467","ANKIB1","protein_coding",2153.28343516413
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000001629","54467","ANKIB1","protein_coding",1981.87329514409
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000001629","54467","ANKIB1","protein_coding",1613.95184411143
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000001629","54467","ANKIB1","protein_coding",1641.78394129435
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000001629","54467","ANKIB1","protein_coding",1681.55757128272
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000001630","1595","CYP51A1","protein_coding",278.79148783226
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000001630","1595","CYP51A1","protein_coding",276.224629202897
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000001630","1595","CYP51A1","protein_coding",201.887255308915
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000001630","1595","CYP51A1","protein_coding",539.072984369201
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000001630","1595","CYP51A1","protein_coding",534.231282484671
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000001630","1595","CYP51A1","protein_coding",519.875966261111
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000001631","889","KRIT1","protein_coding",1227.25737427191
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000001631","889","KRIT1","protein_coding",1230.61243991437
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000001631","889","KRIT1","protein_coding",1158.23764001927
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000001631","889","KRIT1","protein_coding",1226.79942806445
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000001631","889","KRIT1","protein_coding",994.191386672692
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000001631","889","KRIT1","protein_coding",1378.74321980073
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000002016","5893","RAD52","protein_coding",364.297124564319
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000002016","5893","RAD52","protein_coding",371.375075588028
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000002016","5893","RAD52","protein_coding",309.667702366264
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000002016","5893","RAD52","protein_coding",148.653459326052
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000002016","5893","RAD52","protein_coding",168.08740351347
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000002016","5893","RAD52","protein_coding",132.648764587242
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000002079","NA","MYH16","transcribed_unitary_pseudogene",224.901380648189
