"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","description"
"ENSG00000165219",2523.7899824588,-0.723928003954498,0.103938896212695,2.4198444306427e-12,5.28919771762358e-12,"26130","GAPVD1","protein_coding","GTPase activating protein and VPS9 domains 1 [Source:HGNC Symbol;Acc:HGNC:23375]"
"ENSG00000243236",27.099387500956,-9.62152160379535,2.91730523331216,2.42484896632895e-12,5.29962923846764e-12,"NA","GSTA9P","transcribed_unprocessed_pseudogene","glutathione S-transferase alpha 9, pseudogene [Source:HGNC Symbol;Acc:HGNC:49902]"
"ENSG00000110076",303.728573241078,1.44919966389386,0.210906508245183,2.42570133956932e-12,5.30098487172746e-12,"9379","NRXN2","protein_coding","neurexin 2 [Source:HGNC Symbol;Acc:HGNC:8009]"
"ENSG00000213452",27.4478938294713,-9.64267987951232,2.92158440464777,2.45189049940504e-12,5.35770446956676e-12,"NA","AKR1B1P2","processed_pseudogene","aldo-keto reductase family 1 member B1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:425]"
"ENSG00000236444",31.1710665373871,-3.20006564425076,0.47615937214447,2.45973902624111e-12,5.37434034442942e-12,"171222","UBE2L5","protein_coding","ubiquitin conjugating enzyme E2 L5 [Source:HGNC Symbol;Acc:HGNC:13477]"
"ENSG00000264315",27.9498681150821,-9.66557488872675,2.92620554781624,2.46164071818807e-12,5.37798090326165e-12,"NA","HNRNPA1P11","processed_pseudogene","heterogeneous nuclear ribonucleoprotein A1 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:39129]"
"ENSG00000243503",27.1055347314512,-9.62155622580558,2.9175689563827,2.46513679977518e-12,5.3851037178446e-12,"NA","AC090453.1","processed_pseudogene","ribosomal protein L26 (RPL26) pseudogene"
"ENSG00000229948",28.138170141391,-5.67657403318315,0.826370903890908,2.49222795669088e-12,5.44376380096242e-12,"NA","B3GALNT1P1","processed_pseudogene","beta-1,3-N-acetylgalactosaminyltransferase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:51302]"
"ENSG00000223595",27.2585159554994,-9.62833043815152,2.91912677029286,2.49856328332869e-12,5.45708012125312e-12,"NA","LYPLA1P1","processed_pseudogene","LYPLA1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44005]"
"ENSG00000117228",228.353249268249,1.57336972371201,0.229808519325282,2.50250832418859e-12,5.46517380150538e-12,"2633","GBP1","protein_coding","guanylate binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4182]"
"ENSG00000242756",26.4581319557838,-3.99610987349822,0.597977094424708,2.50959449786629e-12,5.48012513020061e-12,"NA","RHOT1P3","processed_pseudogene","ras homolog family member T1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:37839]"
"ENSG00000120053",1685.84982487938,-0.96127617102917,0.138716763909532,2.51892247793011e-12,5.49996849650534e-12,"2805","GOT1","protein_coding","glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]"
"ENSG00000139517",298.230836497753,1.38600527713122,0.201842475678783,2.52462191493057e-12,5.51188604484268e-12,"222484","LNX2","protein_coding","ligand of numb-protein X 2 [Source:HGNC Symbol;Acc:HGNC:20421]"
"ENSG00000259772",25.3941687958585,-4.07001491026739,0.607852390874605,2.54081998969467e-12,5.54672029675364e-12,"283710","AC012236.1","lncRNA","uncharacterized LOC283710 [Source:NCBI gene;Acc:283710]"
"ENSG00000244038",8353.45132399918,-0.83389460218985,0.12004033528123,2.54759608761629e-12,5.56098127163037e-12,"1650","DDOST","protein_coding","dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:2728]"
"ENSG00000262539",47.3357763099851,9.31987001792622,2.79421004642017,2.56894049201221e-12,5.60703668741082e-12,"NA","AC005829.2","processed_pseudogene","dead end homolog 1 (zebrafish) (DND1) pseudogene"
"ENSG00000116678",116.289389259822,2.34027251222177,0.347067898492819,2.6281972338255e-12,5.73582385316203e-12,"3953","LEPR","protein_coding","leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554]"
"ENSG00000224751",43.7820287056089,-7.30433779290217,1.01773035243303,2.63018543637912e-12,5.73961448322785e-12,"NA","SHMT1P1","processed_pseudogene","serine hydroxymethyltransferase 1 (soluble) pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10851]"
