"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_COMPLEMENT",0.0141086241029428,0.0329201229068665,0.380730400722792,0.347284503344819,1.43652353553552,135,"54123;12870;12266;50908;19072;27226;21857;17387;208650;238130;16923;12827;12363;54381;229445;67603;14268;18793;12554;18643;16971;17436;50721;240672;13039;14693;20909;18791;17386;268936;21858;19164;12369;18706;20779;56420;18783;380921;16563;66988;12608;16912;16818"
"HALLMARK_E2F_TARGETS",0.0196725826426497,0.041911154325645,0.352487857583619,-0.27490767264617,-1.30797476517379,199,"17215;20878;12236;17217;76131;52276;70218;218977;103135;12189;22256;11799;78833;19891;100710;22390;18969;12534;110033;229841;17345;18861;11637;53892;54141;101565;105988;50927;106618;66197;70472;13433;67196;16571;14056;67967"
"HALLMARK_UV_RESPONSE_DN",0.0188247448461807,0.041911154325645,0.352487857583619,0.34276819482398,1.42100081976017,136,"12842;12843;23876;15901;14609;18186;109552;217692;19220;12286;14007;22359;12832;12825;17250;99633;21814;67916;18798;268977;15529;11987;57810;229615;12394;13866;218038;252875;19088;15893;18754;17755;20975;56376;12306;226519;21813;23938;12814;226751;22325;11541;11746;14360;64009;17389;21788;16416;18596;19252"
"HALLMARK_IL2_STAT5_SIGNALING",0.0244527548374286,0.04992437445975,0.352487857583619,0.320337932591941,1.35297729696199,156,"55932;66141;20750;12833;14873;11658;18263;17082;18451;18186;20514;24066;18030;11492;11520;12048;18438;13730;20973;20443;16403;12977;12332;20719;217057;216233;20430;13601;384009;17988;12444;54637;66616;16206;17117;68043;13808;72729;625249;16878;65960;18612;17913;21942;80914;69863;23959;16188;18671;14085;11615"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.0581560283687943,0.113985815602837,0.222056046145248,0.289284536940981,1.25699811800136,191,"14194;11739;22335;51798;14751;67863;67460;14661;69089;66885;30055;11306;11740;16828;11951;15926;15108;231086;113868;93747;11370;16922;64704;110842;235339;15929;110446;66407;269951;12039;28185;52538;109754;18597;53375;22333;22273;625249;225887;72900;12369;12028;67680;67130;18674;66416;70316;75406;18105;66445;211253;59040"
"HALLMARK_MYC_TARGETS_V2",0.0630323679727428,0.118791770410169,0.234392647294686,0.392891967729497,1.38696770718124,58,"53608;12567;71974;75751;20509;27998;18148;72515;20810;53414;101612;59028;67134;27966;69071;15510;13537;28126;107071;21379;21453"
"HALLMARK_APOPTOSIS",0.0667678300455235,0.121171247119654,0.213927855492356,0.309180232943615,1.28469837909765,139,"107869;66141;12111;11732;13874;21859;21857;15234;14782;12048;13730;12363;12257;21814;19165;16952;13866;12443;13655;21354;18003;235180;12444;27279;12050;12227;18569;11820;11518;18791;228355;15937;625249;21858;19164;74006;12369;12028;65111"
"HALLMARK_BILE_ACID_METABOLISM",0.0949263502454992,0.166121112929624,0.184706471207739,0.339589335801184,1.292693593922,83,"74114;17999;76267;67452;217262;18634;63959;14712;15926;19298;56473;29815;16922;54683;269951;433256;17117;11835;11666;13123;14630;13371;73836;16818;11303;27410;19299;111175"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.0988074957410562,0.166950596252129,0.184706471207739,0.395929233479787,1.33630261766211,45,"14381;14782;17250;112406;108737;22166;76650;50493;110854;53381;14629;54132;625249;18104;67130;14630;18477;11758;59041;21672;69367"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.10797342192691,0.176356589147287,0.173747838999571,0.353943281363515,1.28486858237807,64,"74155;11658;18030;51798;18793;12660;18194;14104;56473;110196;27279;17855;68312;50762;110006;69071;236900;14137;63913;11465;56389;71914;12759;108767"
