"experiment","contrast","deg_direction","ensembl_gene_id","external_gene_name","entrezgene_id","log2FoldChange","stat","padj"
"humanKD","KD_vs_Control","down","ENSG00000154269","ENPP3","5169",-3.09294965439808,-3.44988204201307,0.00073525238417278
"humanKD","KD_vs_Control","down","ENSG00000229659","RPL26P6","NA",-1.55212885716771,-3.44910243926529,0.000737293837715078
"humanKD","KD_vs_Control","up","ENSG00000272750","AL592148.3","NA",4.7861032112037,3.4489133595489,0.000737767945737646
"humanKD","KD_vs_Control","up","ENSG00000260306","AC092375.2","NA",4.75800921192854,3.44841965456179,0.000739075546199605
"humanKD","KD_vs_Control","down","ENSG00000255008","LINC02739","NA",-2.03544181728982,-3.44812677957848,0.000739834984300525
"humanKD","KD_vs_Control","up","ENSG00000224691","AL133553.1","NA",5.27117294374817,3.44757750501427,0.000741298465812519
"humanKD","KD_vs_Control","down","ENSG00000111405","ENDOU","8909",-3.76260486826734,-3.44394959972198,0.000751273831770965
"humanKD","KD_vs_Control","down","ENSG00000232467","TMA16P2","NA",-2.31851593184203,-3.44148218384651,0.000758115594113883
"humanKD","KD_vs_Control","up","ENSG00000266717","AC134407.1","NA",5.21321344842738,3.44135229799317,0.000758436123453121
"humanKD","KD_vs_Control","up","ENSG00000263781","AC024619.4","NA",2.95813638942044,3.43930413295948,0.000764110290838342
"humanKD","KD_vs_Control","up","ENSG00000251414","AC138956.2","NA",4.76315000331908,3.43913527623051,0.000764543214751736
"humanKD","KD_vs_Control","up","ENSG00000235354","RPS29P16","NA",4.85670860448735,3.4385766169618,0.000766034641505997
"humanKD","KD_vs_Control","up","ENSG00000278834","AC073508.3","NA",2.97094276836085,3.43523141457078,0.000775420613419542
"humanKD","KD_vs_Control","down","ENSG00000080644","CHRNA3","1136",-1.0995683936871,-3.43430296970393,0.00077803705750122
"humanKD","KD_vs_Control","down","ENSG00000235033","DAAM2-AS1","NA",-2.38067773811294,-3.43373848094778,0.000779614320900833
"humanKD","KD_vs_Control","up","ENSG00000180834","MAP6D1","79929",2.06506032963304,3.43241904007949,0.000783327759136914
"humanKD","KD_vs_Control","down","ENSG00000143416","SELENBP1","8991",-1.6178800085949,-3.42997452104584,0.000790373596923918
"humanKD","KD_vs_Control","down","ENSG00000164675","IQUB","154865",-2.15776419003855,-3.42935755054022,0.000792036421800165
"humanKD","KD_vs_Control","up","ENSG00000074276","CDHR2","54825",1.37086234671636,3.42926780953325,0.00079225296127497
"humanKD","KD_vs_Control","down","ENSG00000250241","AC105383.1","NA",-1.87475474749756,-3.42820042186182,0.000795329057159155
"humanKD","KD_vs_Control","up","ENSG00000201700","SNORD113-3","NA",5.17088562835919,3.42538787151924,0.000803378850136909
"humanKD","KD_vs_Control","up","ENSG00000147059","SPIN2A","54466",4.15199319495863,3.42437004890686,0.000806209349771836
"humanKD","KD_vs_Control","up","ENSG00000255142","AP006621.2","NA",4.73983431504566,3.42425585077871,0.000806502037902975
"humanKD","KD_vs_Control","up","ENSG00000259744","AC009269.4","NA",5.18347744661928,3.42351369373762,0.000808661203533355
"humanKD","KD_vs_Control","down","ENSG00000226824","AC006001.2","NA",-1.15925591496902,-3.421393192745,0.000814760012088279
"humanKD","KD_vs_Control","up","ENSG00000258738","AL121603.2","NA",3.32618804018105,3.42069511366342,0.000816807286357899
