"ensembl_gene_id","external_gene_name","lfc_a","padj_a","lfc_b","padj_b","sig_class","label_gene"
"ENSMUSG00000051048","P4ha3",-2.64774368532999,4.75071411438809e-15,-1.7840489472991,9.50031188711134e-08,"both padj<0.05","P4ha3"
"ENSMUSG00000025321","Itgb8",-1.94151164431635,5.8518791962816e-15,-1.38632819958886,4.15680082357349e-08,"both padj<0.05","Itgb8"
"ENSMUSG00000025764","Jade1",1.29235515737316,7.94469478284298e-15,1.23190903361789,1.68046204074965e-13,"both padj<0.05",NA
"ENSMUSG00000002020","Ltbp2",-2.74011484898398,9.29272333347662e-15,-3.12979394859689,7.01228013778246e-19,"both padj<0.05","Ltbp2"
"ENSMUSG00000047497","Adamts12",-2.37314608182638,1.08068437297216e-14,-2.0169364660607,3.70676878892267e-11,"both padj<0.05","Adamts12"
"ENSMUSG00000036545","Adamts2",-2.79505112322231,1.77237057399246e-14,-2.57699989676487,1.0244835153942e-12,"both padj<0.05","Adamts2"
"ENSMUSG00000024512","Dynap",9.11179478422979,2.21231677341691e-14,7.3208948342148,2.0506676471554e-09,"both padj<0.05","Dynap"
"ENSMUSG00000031561","Tenm3",-1.78704803089437,2.2803584237588e-14,-1.76154695935423,5.49901388935987e-14,"both padj<0.05","Tenm3"
"ENSMUSG00000040495","Chrm4",-5.13805301051942,2.94946241360881e-14,-7.32653732720756,1.34381243296023e-09,"both padj<0.05","Chrm4"
"ENSMUSG00000097636","Mirt1",2.26179208006274,3.05385506316267e-14,2.40580366039827,3.37271486574661e-16,"both padj<0.05","Mirt1"
"ENSMUSG00000045094","Arhgef37",-2.26790543687948,3.25911121106744e-14,-1.27899699813485,8.09757849714973e-06,"both padj<0.05","Arhgef37"
"ENSMUSG00000022221","Ripk3",-2.13354258970711,3.28871921693411e-14,-1.60566858077129,1.8816661531043e-08,"both padj<0.05","Ripk3"
"ENSMUSG00000019832","Rab32",-1.05927391949825,5.2458814929585e-14,-1.01512956604261,5.21519585611909e-13,"both padj<0.05",NA
"ENSMUSG00000021379","Id4",-2.07426959076512,5.37025572045868e-14,-1.115802262267,0.000144503709193021,"both padj<0.05","Id4"
"ENSMUSG00000031596","Slc7a2",-3.95528092784501,7.18938714887627e-14,-5.36634708270186,2.09481485371837e-13,"both padj<0.05","Slc7a2"
"ENSMUSG00000071847","Apcdd1",2.12457328988107,7.83230842608508e-14,1.33768570371958,9.43679264951517e-06,"both padj<0.05","Apcdd1"
"ENSMUSG00000056073","Grik2",1.96369888694553,1.02406700372646e-13,-0.451029033513833,0.276598022551035,"CRISPR__KO_vs_WT only",NA
"ENSMUSG00000037902","Sirpa",-2.46081622283488,1.0578203523347e-13,-1.99832006792572,1.8860858624492e-09,"both padj<0.05","Sirpa"
"ENSMUSG00000031841","Cdh13",1.08846168524036,1.20175095892347e-13,1.24828153193444,6.36655694552322e-18,"both padj<0.05",NA
"ENSMUSG00000000938","Hoxa10",4.9940783164615,1.2802000408506e-13,3.61675335040215,3.84189483076307e-07,"both padj<0.05","Hoxa10"
"ENSMUSG00000043441","Gpr149",1.91716527395192,1.37270293564103e-13,1.62362472079249,7.12278581622851e-10,"both padj<0.05","Gpr149"
"ENSMUSG00000039116","Adgrg6",-1.99187973654053,1.5294226807947e-13,-1.71424149710153,1.59812103544948e-10,"both padj<0.05","Adgrg6"
"ENSMUSG00000023008","Fmnl3",-1.02315982022737,4.1425498648441e-13,-0.843784879244317,3.77920827943803e-09,"both padj<0.05",NA
"ENSMUSG00000017631","Abr",-1.066963522264,5.14679324682851e-13,-0.932040986203487,4.25529196228973e-10,"both padj<0.05",NA
"ENSMUSG00000039813","Tbc1d2",2.1428622745024,5.14679324682851e-13,2.83315133842178,1.46674754258931e-23,"both padj<0.05","Tbc1d2"
"ENSMUSG00000063687","Pcdhb5",2.11058708776397,5.72484349099681e-13,1.48006265304908,1.39477826230982e-06,"both padj<0.05","Pcdhb5"
"ENSMUSG00000032220","Myo1e",-1.22909564838745,5.92353674215428e-13,-0.848491914295318,1.56560813735409e-06,"both padj<0.05",NA
"ENSMUSG00000025137","Pcyt2",-0.840455963283654,6.31532382214993e-13,-0.714677419727737,1.45466557845906e-09,"both padj<0.05",NA
"ENSMUSG00000033287","Kctd17",-0.873626896094184,6.96706047034607e-13,-0.892135118572835,1.82345297641351e-13,"both padj<0.05",NA
"ENSMUSG00000036644","Tbc1d9b",-0.937349704940758,7.1014489118944e-13,-0.857965040819741,6.0824448036037e-11,"both padj<0.05",NA
"ENSMUSG00000037736","Limch1",-4.51699361543315,7.17492950199383e-13,-4.64329642578411,5.48036172623214e-13,"both padj<0.05","Limch1"
"ENSMUSG00000028184","Adgrl2",-1.10724706235425,9.24312395726156e-13,-0.57937774902123,0.000533835430245473,"both padj<0.05",NA
"ENSMUSG00000035964","Tmem59l",-2.76602586207805,9.29069805298213e-13,-2.6021654481869,7.97253218275677e-12,"both padj<0.05","Tmem59l"
"ENSMUSG00000039706","Ldb2",-2.63307746276565,1.07311731097202e-12,-1.37242780243489,0.000162088835228348,"both padj<0.05","Ldb2"
"ENSMUSG00000031375","Bgn",-1.01841764352827,1.10506985528675e-12,-0.588264808352634,0.000121087700628236,"both padj<0.05",NA
"ENSMUSG00000028517","Plpp3",-2.29629197197098,1.17936921335412e-12,-1.9071000522037,5.23753647158227e-09,"both padj<0.05","Plpp3"
"ENSMUSG00000019866","Crybg1",3.5451465206863,1.21083248926315e-12,1.76582721565019,0.0016206931432181,"both padj<0.05","Crybg1"
"ENSMUSG00000061111","Mcrip1",-1.07655457521756,1.27122178901319e-12,-0.939834419021457,8.15413579332147e-10,"both padj<0.05",NA
"ENSMUSG00000033214","Slitrk5",-4.54789409267987,1.28092028367197e-12,-6.3441672380355,6.48689101052008e-12,"both padj<0.05","Slitrk5"
"ENSMUSG00000027985","Lef1",-1.84956817980494,1.40361968295883e-12,-1.73986064692211,1.85000673868504e-11,"both padj<0.05","Lef1"
"ENSMUSG00000063632","Sox11",-6.12580409163015,1.82121127108283e-12,-6.54470290405346,3.05871836535659e-11,"both padj<0.05","Sox11"
"ENSMUSG00000027977","Ndst3",-1.48055881979683,2.413159596953e-12,-0.666388321175869,0.00326449453221129,"both padj<0.05",NA
"ENSMUSG00000000782","Tcf7",-1.63560476584995,3.50235470326041e-12,-1.19948879957099,6.70662323051232e-07,"both padj<0.05",NA
"ENSMUSG00000028348","Cavin4",-1.43209601242018,3.57296095850376e-12,-0.887162324394208,2.75584854346043e-05,"both padj<0.05",NA
"ENSMUSG00000024743","Syt7",6.83195025340292,3.64090021367552e-12,7.36351060584768,3.79575326510356e-14,"both padj<0.05","Syt7"
"ENSMUSG00000032487","Ptgs2",1.37475208813,3.64090021367552e-12,2.07265679637355,1.81582207013847e-27,"both padj<0.05","Ptgs2"
"ENSMUSG00000074272","Ceacam1",-3.12011472253222,4.01301468565746e-12,-3.29700407257031,5.14202822992913e-13,"both padj<0.05","Ceacam1"
"ENSMUSG00000026185","Igfbp5",5.71220930009103,4.06966192336214e-12,-0.0960997221958617,0.971429854406512,"CRISPR__KO_vs_WT only",NA
"ENSMUSG00000028412","Slc44a1",-1.12260580445989,4.20434091642426e-12,-0.663711501747198,0.000100237378753557,"both padj<0.05",NA
"ENSMUSG00000004891","Nes",-1.30595033459916,4.40375090375632e-12,-1.08171711982105,1.52992407661693e-08,"both padj<0.05",NA
"ENSMUSG00000024663","Rab3il1",2.67106921601813,4.61639485768054e-12,0.440856049233979,0.463256004468677,"CRISPR__KO_vs_WT only",NA
"ENSMUSG00000042363","Lgalsl",-1.24884215068758,5.33080418308178e-12,-1.10954311515079,1.23572790082929e-09,"both padj<0.05",NA
"ENSMUSG00000051934","Spats2",-0.725773496869809,5.77029176593635e-12,-0.52026899450626,1.76240232319629e-06,"both padj<0.05",NA
"ENSMUSG00000034275","Igsf9b",3.64783465043644,6.52985359564132e-12,2.03602985690224,0.000675929997999977,"both padj<0.05","Igsf9b"
"ENSMUSG00000110140","5430421F17Rik",-2.28483669856476,7.81559426141268e-12,-1.43424793922806,1.93888410681047e-05,"both padj<0.05","5430421F17Rik"
"ENSMUSG00000003541","Ier3",1.44875845438512,8.63791848852517e-12,1.44551575426824,8.55137688847126e-12,"both padj<0.05",NA
"ENSMUSG00000031827","Cotl1",-1.46575097572652,8.74230576551758e-12,-1.46762013079035,7.25169844311286e-12,"both padj<0.05",NA
"ENSMUSG00000044674","Fzd1",-0.939890239376577,9.27823606246379e-12,-0.550840282118993,0.000164959988244862,"both padj<0.05",NA
"ENSMUSG00000004319","Clcn3",1.14263859663789,9.98235216887085e-12,1.3198025574221,1.27203293345294e-15,"both padj<0.05",NA
"ENSMUSG00000024620","Pdgfrb",-1.21132225546774,1.07679576477203e-11,-1.34699549875574,2.20981077944704e-14,"both padj<0.05",NA
"ENSMUSG00000139756","",0.924780996745369,1.19236373271305e-11,0.937317447925495,5.23615343407451e-12,"both padj<0.05",NA
"ENSMUSG00000029648","Flt1",-1.95535808598502,1.25331044793088e-11,-1.78128630847345,8.4130772724629e-10,"both padj<0.05","Flt1"
"ENSMUSG00000027864","Ptgfrn",-1.98361825433301,1.34992668345228e-11,-0.979722489605414,0.00221592833371429,"both padj<0.05",NA
"ENSMUSG00000026383","Epb41l5",1.51187457958837,1.52668798544993e-11,1.16836885418102,4.60588252714637e-07,"both padj<0.05",NA
"ENSMUSG00000049532","Sall2",-1.04396246377666,1.8282483719092e-11,-0.449800537338851,0.00823797704168045,"both padj<0.05",NA
"ENSMUSG00000034413","Neurl1b",3.56133768975799,2.08918319411821e-11,2.27833378648494,0.000102294681509144,"both padj<0.05","Neurl1b"
"ENSMUSG00000001864","Aif1l",1.78292608674052,2.40596847515925e-11,0.84945651550112,0.00456586841430212,"both padj<0.05",NA
"ENSMUSG00000027293","Ehd4",1.24593825109352,2.40596847515925e-11,0.91196674481915,2.41654200725865e-06,"both padj<0.05",NA
"ENSMUSG00000028033","Kcnq5",-1.99893994500218,2.4130619329567e-11,-0.427690793170829,0.267424452345983,"CRISPR__KO_vs_WT only",NA
"ENSMUSG00000060600","Eno3",-1.46569225760699,2.88174175193125e-11,-1.34125212781504,1.24438470503031e-09,"both padj<0.05",NA
"ENSMUSG00000038860","Garnl3",2.45563571201222,2.89559224084564e-11,0.982333681612909,0.0267495811181952,"both padj<0.05","Garnl3"
"ENSMUSG00000037605","Adgrl3",-1.96333193285648,3.0237074668607e-11,-0.537750131202699,0.142182074148365,"CRISPR__KO_vs_WT only",NA
"ENSMUSG00000005124","Ccn4",-1.27978399859544,3.49886988181514e-11,-0.898960784986386,7.16848858858363e-06,"both padj<0.05",NA
"ENSMUSG00000027820","Mme",-2.69364442060994,4.46480973748782e-11,-1.49080616790099,0.00031083389059702,"both padj<0.05","Mme"
"ENSMUSG00000024803","Ankrd1",1.59606853028451,5.11479017692154e-11,1.84398043141028,1.19732856418814e-14,"both padj<0.05","Ankrd1"
"ENSMUSG00000038244","Mical2",-1.0102080158714,6.33166549073408e-11,-0.539815715514007,0.00123187427926696,"both padj<0.05",NA
"ENSMUSG00000040957","Cables1",3.20192680717127,7.08550052836171e-11,2.6988700190784,9.50031188711134e-08,"both padj<0.05","Cables1"
"ENSMUSG00000028539","Artn",-1.9997686683913,8.17264858337895e-11,-1.32648306438376,1.59770187443565e-05,"both padj<0.05","Artn"
"ENSMUSG00000025666","Tmem47",8.90642987678523,8.23952484884074e-11,3.92375993749843,0.025224838837152,"both padj<0.05","Tmem47"
"ENSMUSG00000027287","Snap23",0.833839699032974,8.62128538808873e-11,0.617773974198766,3.55163434121235e-06,"both padj<0.05",NA
"ENSMUSG00000034793","G6pc3",-0.95300722216037,8.63253181314117e-11,-0.851014762258423,8.22694011930596e-09,"both padj<0.05",NA
"ENSMUSG00000039410","Prdm16",-1.73825667980947,8.93224210520428e-11,-1.18809123778123,1.46827709831189e-05,"both padj<0.05",NA
"ENSMUSG00000068122","Agtr2",5.18308578595746,8.93224210520428e-11,5.92921382620311,3.34304474854351e-14,"both padj<0.05","Agtr2"
"ENSMUSG00000036534","Slc38a7",0.996264095816168,1.04859554991889e-10,0.813885833948079,2.479053733499e-07,"both padj<0.05",NA
"ENSMUSG00000057098","Ebf1",-0.80646075868653,1.0820550668167e-10,-0.56913979897969,1.06407692336528e-05,"both padj<0.05",NA
"ENSMUSG00000041842","Fhdc1",1.6068451112625,1.13914510047383e-10,1.11839627224528,2.21241611019546e-05,"both padj<0.05",NA
"ENSMUSG00000019539","Rcn3",-1.54576247346858,1.4017641395854e-10,-0.918558296840505,0.000330920106084772,"both padj<0.05",NA
"ENSMUSG00000061887","Ssbp3",-0.730331712141563,1.40666005211486e-10,-0.470806665327903,8.00907066059963e-05,"both padj<0.05",NA
"ENSMUSG00000028389","Zfp37",8.66943433624976,1.52913191772966e-10,8.77527062685106,7.07960746954727e-11,"both padj<0.05","Zfp37"
"ENSMUSG00000036111","Lmo1",2.1692413489092,1.60752653606839e-10,3.25272973431238,4.03666813548267e-25,"both padj<0.05","Lmo1"
