"gene_set","sample","ssgsea_score","sample_label","condition","experiment"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","sample.neg.neg_1",0.173790424624397,"KO 1","KO","CRISPR"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","sample.neg.neg_2",0.1361519171572,"KO 2","KO","CRISPR"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","sample.neg.neg_3",0.136050669643476,"KO 3","KO","CRISPR"
"HALLMARK_INFLAMMATORY_RESPONSE","sample.WT_1",0.130700270185842,"WT 1","WT","CRISPR"
"HALLMARK_INFLAMMATORY_RESPONSE","sample.WT_2",0.13156766008026,"WT 2","WT","CRISPR"
"HALLMARK_INFLAMMATORY_RESPONSE","sample.WT_3",0.132516997391561,"WT 3","WT","CRISPR"
"HALLMARK_INFLAMMATORY_RESPONSE","sample.pos.neg_1",0.169421466949521,"Het 1","Het","CRISPR"
"HALLMARK_INFLAMMATORY_RESPONSE","sample.pos.neg_2",0.123366311704915,"Het 2","Het","CRISPR"
"HALLMARK_INFLAMMATORY_RESPONSE","sample.pos.neg_3",0.136146383894076,"Het 3","Het","CRISPR"
"HALLMARK_INFLAMMATORY_RESPONSE","sample.neg.neg_1",0.1321187922601,"KO 1","KO","CRISPR"
"HALLMARK_INFLAMMATORY_RESPONSE","sample.neg.neg_2",0.122684809548324,"KO 2","KO","CRISPR"
"HALLMARK_INFLAMMATORY_RESPONSE","sample.neg.neg_3",0.0955983577858333,"KO 3","KO","CRISPR"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","sample.WT_1",0.0284031879288901,"WT 1","WT","CRISPR"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","sample.WT_2",0.0298052670870002,"WT 2","WT","CRISPR"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","sample.WT_3",-0.0431982508479644,"WT 3","WT","CRISPR"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","sample.pos.neg_1",0.157923552216774,"Het 1","Het","CRISPR"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","sample.pos.neg_2",-0.0452458037034692,"Het 2","Het","CRISPR"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","sample.pos.neg_3",-0.0205380444497003,"Het 3","Het","CRISPR"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","sample.neg.neg_1",0.15777307140261,"KO 1","KO","CRISPR"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","sample.neg.neg_2",0.0609812524600203,"KO 2","KO","CRISPR"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","sample.neg.neg_3",-0.0180577373679758,"KO 3","KO","CRISPR"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","sample.WT_1",0.0750035572352394,"WT 1","WT","CRISPR"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","sample.WT_2",0.0761936663093496,"WT 2","WT","CRISPR"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","sample.WT_3",0.0337025867609574,"WT 3","WT","CRISPR"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","sample.pos.neg_1",0.160139401711151,"Het 1","Het","CRISPR"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","sample.pos.neg_2",0.0216789372781842,"Het 2","Het","CRISPR"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","sample.pos.neg_3",0.0350118074046697,"Het 3","Het","CRISPR"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","sample.neg.neg_1",0.158349964806007,"KO 1","KO","CRISPR"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","sample.neg.neg_2",0.091247877261291,"KO 2","KO","CRISPR"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","sample.neg.neg_3",0.0491183435359807,"KO 3","KO","CRISPR"
"HALLMARK_KRAS_SIGNALING_DN","sample.WT_1",-0.22504422320089,"WT 1","WT","CRISPR"
"HALLMARK_KRAS_SIGNALING_DN","sample.WT_2",-0.240599333505077,"WT 2","WT","CRISPR"
"HALLMARK_KRAS_SIGNALING_DN","sample.WT_3",-0.239669913569781,"WT 3","WT","CRISPR"
"HALLMARK_KRAS_SIGNALING_DN","sample.pos.neg_1",-0.239582340936825,"Het 1","Het","CRISPR"
"HALLMARK_KRAS_SIGNALING_DN","sample.pos.neg_2",-0.25515959987026,"Het 2","Het","CRISPR"
"HALLMARK_KRAS_SIGNALING_DN","sample.pos.neg_3",-0.251888251456204,"Het 3","Het","CRISPR"
"HALLMARK_KRAS_SIGNALING_DN","sample.neg.neg_1",-0.231368930629807,"KO 1","KO","CRISPR"
"HALLMARK_KRAS_SIGNALING_DN","sample.neg.neg_2",-0.268516238005273,"KO 2","KO","CRISPR"
"HALLMARK_KRAS_SIGNALING_DN","sample.neg.neg_3",-0.244714119661483,"KO 3","KO","CRISPR"
"HALLMARK_KRAS_SIGNALING_UP","sample.WT_1",0.107020972884456,"WT 1","WT","CRISPR"
"HALLMARK_KRAS_SIGNALING_UP","sample.WT_2",0.108555531235195,"WT 2","WT","CRISPR"
"HALLMARK_KRAS_SIGNALING_UP","sample.WT_3",0.112151279905069,"WT 3","WT","CRISPR"
"HALLMARK_KRAS_SIGNALING_UP","sample.pos.neg_1",0.154494863491055,"Het 1","Het","CRISPR"
"HALLMARK_KRAS_SIGNALING_UP","sample.pos.neg_2",0.140007538905464,"Het 2","Het","CRISPR"
"HALLMARK_KRAS_SIGNALING_UP","sample.pos.neg_3",0.137160392204431,"Het 3","Het","CRISPR"
"HALLMARK_KRAS_SIGNALING_UP","sample.neg.neg_1",0.103662528008711,"KO 1","KO","CRISPR"
"HALLMARK_KRAS_SIGNALING_UP","sample.neg.neg_2",0.111265777849776,"KO 2","KO","CRISPR"
"HALLMARK_KRAS_SIGNALING_UP","sample.neg.neg_3",0.10518958934188,"KO 3","KO","CRISPR"
"HALLMARK_MITOTIC_SPINDLE","sample.WT_1",0.481204249199243,"WT 1","WT","CRISPR"
"HALLMARK_MITOTIC_SPINDLE","sample.WT_2",0.470340637028549,"WT 2","WT","CRISPR"
"HALLMARK_MITOTIC_SPINDLE","sample.WT_3",0.473510893730244,"WT 3","WT","CRISPR"
"HALLMARK_MITOTIC_SPINDLE","sample.pos.neg_1",0.452696826120079,"Het 1","Het","CRISPR"
"HALLMARK_MITOTIC_SPINDLE","sample.pos.neg_2",0.458612112316854,"Het 2","Het","CRISPR"
"HALLMARK_MITOTIC_SPINDLE","sample.pos.neg_3",0.459802772113224,"Het 3","Het","CRISPR"
