experiment,contrast,tf,score,padj,n_targets
humanKD,KD_vs_Control,HDAC4,-1.1724146272380913,0.612471878528595,20
humanKD,KD_vs_Control,NEUROG1,1.1680461322541087,0.6131449937820435,11
humanKD,KD_vs_Control,SIN3A,1.1674886986808042,0.6131449937820435,10
humanKD,KD_vs_Control,ARNT,1.1457702389525193,0.6185739040374756,61
humanKD,KD_vs_Control,BHLHA15,1.1504628649475792,0.6185739040374756,13
humanKD,KD_vs_Control,CXXC1,-1.1483489632899435,0.6185739040374756,20
humanKD,KD_vs_Control,FOXC2,1.1543212785975623,0.6185739040374756,17
humanKD,KD_vs_Control,GATA5,1.1586039975139624,0.6185739040374756,23
humanKD,KD_vs_Control,HAND1,-1.1464197452605072,0.6185739040374756,10
humanKD,KD_vs_Control,HOXB13,1.149389207348585,0.6185739040374756,12
humanKD,KD_vs_Control,THRB,1.1431839646212865,0.6185739040374756,40
humanKD,KD_vs_Control,ZNF300,-1.1435345723935428,0.6185739040374756,8
humanKD,KD_vs_Control,FEZF2,1.130503875393876,0.6293820738792419,7
humanKD,KD_vs_Control,CLOCK,1.118319356131662,0.631200909614563,58
humanKD,KD_vs_Control,HDAC3,1.1198258819419582,0.631200909614563,19
humanKD,KD_vs_Control,KLF10,1.120440190050246,0.631200909614563,26
humanKD,KD_vs_Control,MAFK,1.1210302352236678,0.631200909614563,17
humanKD,KD_vs_Control,PAX4,1.1228324728077805,0.631200909614563,5
humanKD,KD_vs_Control,CEBPB,-1.1072772374450228,0.638282060623169,344
humanKD,KD_vs_Control,HMGA2,1.1081235988325362,0.638282060623169,35
humanKD,KD_vs_Control,POU2F3,1.1011568992138296,0.6424576044082642,7
humanKD,KD_vs_Control,SIX4,-1.096707934554233,0.6449185013771057,6
humanKD,KD_vs_Control,PRDM16,-1.0891763743311609,0.6505826711654663,5
humanKD,KD_vs_Control,HIF3A,-1.0825908257815504,0.6508511304855347,6
humanKD,KD_vs_Control,PURA,-1.08576431315889,0.6508511304855347,18
humanKD,KD_vs_Control,RUNX2,-1.0805388236713311,0.6508511304855347,105
humanKD,KD_vs_Control,SALL1,1.078640702900221,0.6508511304855347,6
humanKD,KD_vs_Control,ZNF699,1.0822508891318474,0.6508511304855347,44
humanKD,KD_vs_Control,GTF2IRD1,-1.074385797693686,0.6531393527984619,7
humanKD,KD_vs_Control,DLX2,-1.0599224221350037,0.6534254550933838,20
humanKD,KD_vs_Control,FOXA3,-1.0659418761888362,0.6534254550933838,6
humanKD,KD_vs_Control,HOXB2,-1.0630457259777353,0.6534254550933838,8
humanKD,KD_vs_Control,NR4A2,-1.0641649049133266,0.6534254550933838,51
humanKD,KD_vs_Control,RREB1,1.0609393523149417,0.6534254550933838,8
humanKD,KD_vs_Control,SMARCA1,1.0703935444457464,0.6534254550933838,44
humanKD,KD_vs_Control,TBX3,1.0633019145743792,0.6534254550933838,16
humanKD,KD_vs_Control,BMAL2,1.0556623854580063,0.6557395458221436,8
humanKD,KD_vs_Control,TRPS1,-1.052381271496828,0.6570501923561096,15
humanKD,KD_vs_Control,MSX2,-1.0393178647954258,0.6684918403625488,39
humanKD,KD_vs_Control,EOMES,1.0227040936717313,0.6830757856369019,20
humanKD,KD_vs_Control,NFATC4,-1.0178902985638596,0.6830757856369019,29
humanKD,KD_vs_Control,XBP1,-1.0212051285595303,0.6830757856369019,51
humanKD,KD_vs_Control,ZIC1,1.0173232053451007,0.6830757856369019,14
humanKD,KD_vs_Control,BRCA1,1.0032119308259508,0.683142900466919,56
humanKD,KD_vs_Control,HEY2,0.9997246972198385,0.683142900466919,18
humanKD,KD_vs_Control,MAX,-0.9994086188589428,0.683142900466919,43
humanKD,KD_vs_Control,MEIS1,1.0124341368371526,0.683142900466919,18
humanKD,KD_vs_Control,NRG1,-0.9993167092585166,0.683142900466919,34
humanKD,KD_vs_Control,RXRG,1.0015366672652084,0.683142900466919,6
humanKD,KD_vs_Control,SMAD9,-1.000420061810372,0.683142900466919,5
humanKD,KD_vs_Control,YBX3,1.008442790206226,0.683142900466919,24
humanKD,KD_vs_Control,ZBTB16,-1.0150789084920442,0.683142900466919,44
humanKD,KD_vs_Control,FOXD1,0.9966121521522733,0.6839034557342529,6
humanKD,KD_vs_Control,TAL1,0.9886823514930095,0.6901195645332336,84
humanKD,KD_vs_Control,HOXD3,0.9814035839071062,0.6943567991256714,10
humanKD,KD_vs_Control,NR2F6,0.980689740742341,0.6943567991256714,6
humanKD,KD_vs_Control,HOPX,0.9776280853048964,0.6955009698867798,8
humanKD,KD_vs_Control,TFAP2C,-0.9720810976076252,0.6992563009262085,30
humanKD,KD_vs_Control,ATF4,0.9587024826908095,0.7009628415107727,114
humanKD,KD_vs_Control,CTCF,0.9612062976773181,0.7009628415107727,119
humanKD,KD_vs_Control,EMX2,-0.9620408019604163,0.7009628415107727,8
humanKD,KD_vs_Control,NOTO,-0.9652153227017894,0.7009628415107727,9
humanKD,KD_vs_Control,SMARCC1,-0.9634202836344128,0.7009628415107727,8
humanKD,KD_vs_Control,USF2,0.9589018451186506,0.7009628415107727,84
humanKD,KD_vs_Control,TBX15,0.9553545114587364,0.7024281620979309,25
humanKD,KD_vs_Control,MTF2,0.942507667786688,0.7138818502426147,5
humanKD,KD_vs_Control,GATA6,-0.9336415325273331,0.7211990356445312,67
humanKD,KD_vs_Control,MYOCD,-0.9206096995647846,0.7290667295455933,8
humanKD,KD_vs_Control,NONO,0.922696653983461,0.7290667295455933,16
humanKD,KD_vs_Control,PBX2,-0.920376725990872,0.7290667295455933,8
humanKD,KD_vs_Control,ARID3B,0.916137909214245,0.7300986051559448,6
humanKD,KD_vs_Control,MEF2C,-0.9155043951372535,0.7300986051559448,59
