"ensembl_gene_id","sample.WT_1","sample.WT_2","sample.WT_3","sample.pos.neg_1","sample.pos.neg_2","sample.pos.neg_3"
"ENSMUSG00000024908",3071.62358700559,3160.78936248212,3417.36174739153,4373.97061953326,4607.54039867969,4356.36282386522
"ENSMUSG00000024909",2919.82582399667,3680.35702566137,3995.90781991715,3558.95954306924,3597.04691225294,4287.01406690066
"ENSMUSG00000024910",20.7373993181582,12.3952524018907,17.971562587415,19.8498399711867,29.8831589633321,12.608864902649
"ENSMUSG00000024911",749.8643593446,623.894370895164,654.579606549307,1145.45253010201,1010.49348642675,1045.2749004296
"ENSMUSG00000024912",300.277542126931,285.090805243486,367.725819096337,275.562484305886,319.860479274185,278.655914348543
"ENSMUSG00000024913",1607.56319514362,1524.61604543255,1419.75344440578,1703.58332458597,1309.32507606007,1287.36510656046
"ENSMUSG00000024914",2291.06787667012,2598.87125359641,2481.45806495461,3223.8475388498,3583.76550826924,3222.82586911708
"ENSMUSG00000024921",485.255144044902,488.579532174524,410.581083727865,783.484860039194,605.410664923803,673.313385801456
"ENSMUSG00000024924",160.922218708908,78.5032652119743,44.9289064685375,347.95601831845,86.3291258940706,97.0882597503972
"ENSMUSG00000024925",315.208469636005,243.773297237183,233.630313636395,339.782554800902,274.482348996532,305.134530644105
"ENSMUSG00000024926",1043.50593368972,905.886363038177,781.762972552552,1279.73085931886,1193.11279120267,1133.53695474814
"ENSMUSG00000024927",1537.05603746189,1651.66738255193,1845.54123493839,2218.51152619146,2233.48943659275,2238.0735202202
"ENSMUSG00000024936",11.6129436181686,5.16468850078778,11.0594231307169,19.8498399711867,13.2814039837032,12.608864902649
"ENSMUSG00000024937",2160.83700895208,2319.97807455387,2338.37677820096,3175.97439538988,3414.42760747702,3768.78971940178
"ENSMUSG00000024940",3259.08967684174,3530.58105913853,3310.22358581271,3020.67858855648,3229.59473537049,2984.51832245702
"ENSMUSG00000024941",2298.53334042465,2533.79617848649,2554.03552924994,3012.50512503893,3397.82585249739,3377.91490741966
"ENSMUSG00000024942",2054.66152444311,2072.07302651606,1987.2400938007,3104.74849902268,2639.679041761,2662.99226743947
"ENSMUSG00000024943",2115.21473045214,1821.06916537777,1816.51024922025,2736.94264073304,2844.4340198431,2805.4724408394
"ENSMUSG00000024944",836.961436480865,858.371228830929,913.784836175485,1017.01238911198,812.379210336511,959.534619091588
"ENSMUSG00000024947",1705.44371992533,2338.57095315671,2305.19850880881,2419.34520119405,2813.44407721445,2897.51715462874
"ENSMUSG00000024948",505.163047390334,359.46231965483,257.131587789168,430.858291139288,349.743638237517,384.570379530794
"ENSMUSG00000024949",7302.88254388259,6100.53005713053,7187.93382102032,7183.30679427887,6812.25345997442,7060.96434548343
"ENSMUSG00000024953",2605.4468503334,2616.43119449909,2794.57798234303,5117.75579963008,2941.83098239025,3174.91218248701
"ENSMUSG00000024955",642.029882890178,607.367367692643,856.414078684891,1105.75285015964,1027.09524140638,891.446748617283
"ENSMUSG00000024958",335.945868954163,294.387244544904,305.516563986055,488.072535762121,411.723523494798,419.875201258211
"ENSMUSG00000024959",260.461735436067,330.540064050418,325.561768410479,399.332074714463,364.131825886529,379.526833569734
"ENSMUSG00000024960",1869.68392252514,1742.5659001658,1916.04505739671,2408.83646238578,2201.3927102988,2314.98759612635
"ENSMUSG00000024962",1180.37276918956,1265.34868269301,1177.13734947568,1856.54385612864,1975.60884257585,1902.67771380973
"ENSMUSG00000024963",198.249537481592,247.905048037813,218.423606831659,301.250512503893,245.705973698509,306.39541713437
"ENSMUSG00000024965",28.2028630726951,17.5599409026785,18.6627765330848,28.0233034887342,33.2035099592579,31.5221622566225
"ENSMUSG00000024966",9427.22173003471,10484.3176565992,11874.3643726616,13767.615476486,15555.8444159123,14772.5461199436
"ENSMUSG00000024968",787.191678117285,634.22374789674,868.855929706948,1449.03831789663,1044.80378005132,1160.01557104371
"ENSMUSG00000024969",1750.23650245255,1744.63177556611,2034.24264210624,2559.46171863772,2937.40384772902,2888.69094919688
"ENSMUSG00000024970",693.45863319921,790.19734062053,758.952912345448,1229.52244056821,1236.2773541497,1228.10344151801
"ENSMUSG00000024974",4217.98702131338,3970.61251940565,4308.33652335991,5164.46130544464,5658.98488072286,5209.98297777456
"ENSMUSG00000024975",373.273187726847,207.620477731669,164.508919069414,288.40649840489,153.842929477895,122.305989555695
"ENSMUSG00000024976",1804.98323665249,2046.24958401212,2151.05779892444,3132.77180251141,3278.29321664407,3488.87291856297
"ENSMUSG00000024978",781.385206308201,961.664998846685,1144.6502940292,957.462869198419,1061.40553503094,1056.62287884199
"ENSMUSG00000024981",2107.7492666976,3002.74989435802,2861.625735073,3494.73947257423,4527.85197477747,4781.2815710845
"ENSMUSG00000024982",1478.16182339832,1750.82940176706,1844.85002099272,1747.9535551098,2024.30732384942,2114.50664417424
