"database","pathway_key","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","NES_human_KD","NES_mouse_KD","padj_human_KD","padj_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","leading_edge_human_KD","leading_edge_mouse_KD","pathway_name","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"GO_BP","GO:0070509","GO:0070509","GO:0070509","calcium ion import","calcium ion import",-1.18876516112634,1.26958110401146,0.42584720151509,0.465876253612103,-0.370746202405893,0.331729425606848,FALSE,FALSE,"778/8911/3958/777/51063/5311/2534/487/5159/7226/10367/123041/6387/5530/1499/775","12361/26903/12286/18764/19056/12568/20855/19057/20315/74777/12288/11421/72691","calcium ion import",-2.4583462651378,2.4583462651378,"opposite direction"
"GO_BP","GO:0008090","GO:0008090","GO:0008090","retrograde axonal transport","retrograde axonal transport",-1.41509589021896,1.04308890681964,0.307058874802669,0.69579592413884,-0.512778345856712,0.157518119608544,FALSE,FALSE,"22902/6647/5048/55860/4130/1740/10749/23095","23859/20615/18472/13518","retrograde axonal transport",-2.4581847970386,2.4581847970386,"opposite direction"
"GO_BP","GO:0071453","GO:0071453","GO:0071453","cellular response to oxygen levels","cellular response to oxygen levels",-1.2043828995491,1.25332305882384,0.343359026456392,0.390168706734516,-0.464251531090006,0.408747565893615,FALSE,FALSE,"84557/132864/4000/9550/50809/65018/54583/9463/9114/7371/537/23545/10370/4780/405/26355/5743/6774/5562/8678/1386/2308/9131/22933/9520/10869/10397/10273/4720/5165/5230/2263/7291/523","228026/50527/12946/22059/20856/70186/13685/22359/19225/13631/71712/12176/11651/68943/112406/11639/23988/63959/108155/15441/20855/68585/74370/12443/68077/18214/17988/16819/26395/76898/52538/18754/13555/18024/74006/22339/11826/16526/56716/78688/66214/11911/26419/19223/236900/14281/14688/56717/15251/69573/16527/211488/12177/22160/246154/13806/66290/13804/66734/21803/64602/110876","cellular response to oxygen levels",-2.45770595837294,2.45770595837294,"opposite direction"
"GO_BP","GO:0140112","GO:0140112","GO:0140112","extracellular vesicle biogenesis","extracellular vesicle biogenesis",-1.40455348115453,1.05265266393088,0.326809209381936,0.694101128115998,-0.485705713683678,0.158577249742354,FALSE,FALSE,"10015/7251/7879/91947/10987/947","22088/12490/66412","extracellular vesicle biogenesis",-2.45720614508541,2.45720614508541,"opposite direction"
"GO_BP","GO:1903580","GO:1903580","GO:1903580","positive regulation of ATP metabolic process","positive regulation of ATP metabolic process",-1.17277873787896,1.28401628684938,0.496183958143421,0.483801773487485,-0.304357280778062,0.315332543964183,FALSE,FALSE,"195827/5604/5027/65018/405/26137/6774/5562/6714/7415","12048/19241/66129/331623/74370/26395/11820/19164/56716/20779/56717/15251/98496/16189/13806","positive regulation of ATP metabolic process",-2.45679502472834,2.45679502472834,"opposite direction"
"GO_BP","GO:0070498","GO:0070498","GO:0070498","interleukin-1-mediated signaling pathway","interleukin-1-mediated signaling pathway",-1.00421373996573,1.45253120919749,0.688129105244685,0.328353962156779,-0.162330072759856,0.483657738832932,FALSE,FALSE,"5595/9252","58203/69146/16177/24058/107527/56613/266632/18795/16179/17874/73945/26417","interleukin-1-mediated signaling pathway",-2.45674494916322,2.45674494916322,"opposite direction"
"GO_BP","GO:0040014","GO:0040014","GO:0040014","regulation of multicellular organism growth","regulation of multicellular organism growth",-1.14351135962701,1.31249391917434,0.518042047996805,0.41974223066975,-0.285634988378585,0.377017333804525,FALSE,FALSE,"6777/55777/7429/2692/51738/6647/2778/79068/6608/2690/6776","14381/231507/20856/15364/14600/319757/12977/14431/216233/15499/64704/268396/19035/11820/20751/67378","regulation of multicellular organism growth",-2.45600527880135,2.45600527880135,"opposite direction"
"GO_BP","GO:1905314","GO:1905314","GO:1905314","semi-lunar valve development","semi-lunar valve development",-1.34004464977508,1.11544469953221,0.300363058770138,0.627700010485478,-0.522353481650623,0.202247864094573,FALSE,FALSE,"2006/11117/1942/650/6615/7291/3516/9353","20563/20564/20897/19664/21937/19645/23794/100952/21813/22160/14462/12156","semi-lunar valve development",-2.45548934930729,2.45548934930729,"opposite direction"
"GO_BP","GO:0001580","GO:0001580","GO:0001580","detection of chemical stimulus involved in sensory perception of bitter taste","detection of chemical stimulus involved in sensory perception of bitter taste",-0.863818767077986,1.59162929680918,0.776957763061074,0.0602499580756734,-0.109602589652222,1.22004325095243,FALSE,FALSE,"4025/2779/344892","67775/12353","detection of chemical stimulus involved in sensory perception of bitter taste",-2.45544806388717,2.45544806388717,"opposite direction"
"GO_BP","GO:0045661","GO:0045661","GO:0045661","regulation of myoblast differentiation","regulation of myoblast differentiation",-1.10385512351267,1.35156615371969,0.538107858337598,0.360369738102178,-0.269130665623575,0.443251685859017,FALSE,FALSE,"6604/677/6599/10011/150572/23236/1649/79647/55193/10524/2319/91653/55274/6659/6601/196528/694","20587/15903/72057/66923/16009/57810/241296/26408/18795/68094/11461/81601/20586/14252/67155/20677/223332/20588","regulation of myoblast differentiation",-2.45542127723236,2.45542127723236,"opposite direction"
