"database","pathway_key","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","NES_human_KD","NES_mouse_KD","padj_human_KD","padj_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","pathway_name","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"GO_BP","GO:0002832","GO:0002832","GO:0002832","negative regulation of response to biotic stimulus","negative regulation of response to biotic stimulus",1.18120858219467,1.74379463058248,0.409133719379302,0.0139803094281883,0.388134725984667,1.85448321618207,FALSE,TRUE,"negative regulation of response to biotic stimulus",-0.56258604838781,0.56258604838781,"shared positive"
"GO_BP","GO:0007259","GO:0007259","GO:0007259","cell surface receptor signaling pathway via JAK-STAT","cell surface receptor signaling pathway via JAK-STAT",1.14322216600829,1.70403821311582,0.498123962138267,0.0313485988028819,0.302662566129259,1.50378186618179,FALSE,TRUE,"cell surface receptor signaling pathway via JAK-STAT",-0.56081604710753,0.56081604710753,"shared positive"
"GO_BP","GO:0007340","GO:0007340","GO:0007340","acrosome reaction","acrosome reaction",-0.801112637323033,-1.36152178194677,0.86919511089316,0.449276106792835,-0.0608827251933144,-0.347486677253728,FALSE,FALSE,"acrosome reaction",0.560409144623737,0.560409144623737,"shared negative"
"GO_BP","GO:0045939","GO:0045939","GO:0045939","negative regulation of steroid metabolic process","negative regulation of steroid metabolic process",-1.30028360694098,-0.741005616410206,0.402572745075023,0.922403236524581,-0.395155630997775,-0.0350791818600399,FALSE,FALSE,"negative regulation of steroid metabolic process",-0.559277990530774,0.559277990530774,"shared negative"
"GO_BP","GO:0032695","GO:0032695","GO:0032695","negative regulation of interleukin-12 production","negative regulation of interleukin-12 production",0.652665023931353,1.2107864979482,0.932621659342307,0.569240179671183,0.0302945026456106,0.2447044529419,FALSE,FALSE,"negative regulation of interleukin-12 production",-0.558121474016847,0.558121474016847,"shared positive"
"GO_BP","GO:0007218","GO:0007218","GO:0007218","neuropeptide signaling pathway","neuropeptide signaling pathway",-0.598343922531819,-1.1561328810622,0.99788923125833,0.574641234551508,-0.00091766404644266,-0.240603213541325,FALSE,FALSE,"neuropeptide signaling pathway",0.557788958530381,0.557788958530381,"shared negative"
"GO_BP","GO:0072522","GO:0072522","GO:0072522","purine-containing compound biosynthetic process","purine-containing compound biosynthetic process",1.11462026325229,1.66992259913087,0.484682976336734,0.00371343346070912,0.314542233862664,2.43022435359994,FALSE,TRUE,"purine-containing compound biosynthetic process",-0.55530233587858,0.55530233587858,"shared positive"
"GO_BP","GO:0016540","GO:0016540","GO:0016540","protein autoprocessing","protein autoprocessing",1.52454515377866,0.969323286793879,0.214609901713914,0.748511007654068,0.668350244343462,0.125801808509615,FALSE,FALSE,"protein autoprocessing",0.555221866984781,0.555221866984781,"shared positive"
"GO_BP","GO:0019058","GO:0019058","GO:0019058","viral life cycle","viral life cycle",1.41116291042973,1.9660144757527,0.0768176927521047,2.17199475906016e-05,1.11453874117081,4.66314122701781,FALSE,TRUE,"viral life cycle",-0.55485156532297,0.55485156532297,"shared positive"
"GO_BP","GO:0010663","GO:0010663","GO:0010663","positive regulation of striated muscle cell apoptotic process","positive regulation of striated muscle cell apoptotic process",0.755657200611023,1.31000118659024,0.868557307601789,0.486952197028056,0.0612015214262783,0.312513670378608,FALSE,FALSE,"positive regulation of striated muscle cell apoptotic process",-0.554343985979217,0.554343985979217,"shared positive"
"GO_BP","GO:0050853","GO:0050853","GO:0050853","B cell receptor signaling pathway","B cell receptor signaling pathway",-1.40844143212002,-0.854235983789228,0.214739633337905,0.866733994161179,-0.668087792771758,-0.0621141696446393,FALSE,FALSE,"B cell receptor signaling pathway",-0.554205448330792,0.554205448330792,"shared negative"
"GO_BP","GO:0006309","GO:0006309","GO:0006309","apoptotic DNA fragmentation","apoptotic DNA fragmentation",1.19508658253501,0.642364273752051,0.500196735096366,0.963736916338802,0.300859147340142,0.0160415048688015,FALSE,FALSE,"apoptotic DNA fragmentation",0.552722308782959,0.552722308782959,"shared positive"
"GO_BP","GO:0033194","GO:0033194","GO:0033194","response to hydroperoxide","response to hydroperoxide",1.07869032954241,0.526030312413175,0.623899482997198,0.991981647630537,0.204885374253524,0.00349636252980886,FALSE,FALSE,"response to hydroperoxide",0.552660017129235,0.552660017129235,"shared positive"
"GO_BP","GO:0016556","GO:0016556","GO:0016556","mRNA modification","mRNA modification",1.3930992383183,0.840905052098452,0.29473070534117,0.862626316360001,0.530574616557351,0.0641772968559656,FALSE,FALSE,"mRNA modification",0.552194186219848,0.552194186219848,"shared positive"
"GO_BP","GO:0055023","GO:0055023","GO:0055023","positive regulation of cardiac muscle tissue growth","positive regulation of cardiac muscle tissue growth",-1.46263102873773,-0.910845485653682,0.282909200421623,0.81069474387656,-0.548352928727633,-0.0911426427133342,FALSE,FALSE,"positive regulation of cardiac muscle tissue growth",-0.551785543084048,0.551785543084048,"shared negative"
"GO_BP","GO:0030216","GO:0030216","GO:0030216","keratinocyte differentiation","keratinocyte differentiation",0.765275456760696,1.31618592233497,0.936823044394139,0.367590251794924,0.0283424348335145,0.43463601428214,FALSE,FALSE,"keratinocyte differentiation",-0.550910465574274,0.550910465574274,"shared positive"
"GO_BP","GO:0048525","GO:0048525","GO:0048525","negative regulation of viral process","negative regulation of viral process",1.93036582058883,2.48095133777196,0.005222041325529,6.03278412325056e-07,2.28215969563483,6.21948221517066,TRUE,TRUE,"negative regulation of viral process",-0.55058551718313,0.55058551718313,"shared positive"
"GO_BP","GO:1904377","GO:1904377","GO:1904377","positive regulation of protein localization to cell periphery","positive regulation of protein localization to cell periphery",-0.897678528076016,-1.44668298303882,0.804040320868129,0.253270224835014,-0.094722171784566,-0.596415864097865,FALSE,FALSE,"positive regulation of protein localization to cell periphery",0.549004454962804,0.549004454962804,"shared negative"
"GO_BP","GO:0001961","GO:0001961","GO:0001961","positive regulation of cytokine-mediated signaling pathway","positive regulation of cytokine-mediated signaling pathway",1.14432600976394,1.69313501526136,0.525523674593507,0.0911702290965905,0.2794077144336,1.04014695388461,FALSE,FALSE,"positive regulation of cytokine-mediated signaling pathway",-0.54880900549742,0.54880900549742,"shared positive"
"GO_BP","GO:0009124","GO:0009124","GO:0009124","nucleoside monophosphate biosynthetic process","nucleoside monophosphate biosynthetic process",0.999425140967369,1.54812195826029,0.664929978199017,0.207620758181787,0.177224086550912,0.682729227349997,FALSE,FALSE,"nucleoside monophosphate biosynthetic process",-0.548696817292921,0.548696817292921,"shared positive"
"GO_BP","GO:0030812","GO:0030812","GO:0030812","negative regulation of nucleotide catabolic process","negative regulation of nucleotide catabolic process",-1.61558865914713,-1.06695620177244,0.152440352871432,0.671520576172177,-0.816900054586709,-0.172940675502895,FALSE,FALSE,"negative regulation of nucleotide catabolic process",-0.54863245737469,0.54863245737469,"shared negative"
"GO_BP","GO:0033122","GO:0033122","GO:0033122","negative regulation of purine nucleotide catabolic process","negative regulation of purine nucleotide catabolic process",-1.61558865914713,-1.06695620177244,0.152440352871432,0.671520576172177,-0.816900054586709,-0.172940675502895,FALSE,FALSE,"negative regulation of purine nucleotide catabolic process",-0.54863245737469,0.54863245737469,"shared negative"
"GO_BP","GO:0045820","GO:0045820","GO:0045820","negative regulation of glycolytic process","negative regulation of glycolytic process",-1.61558865914713,-1.06695620177244,0.152440352871432,0.671520576172177,-0.816900054586709,-0.172940675502895,FALSE,FALSE,"negative regulation of glycolytic process",-0.54863245737469,0.54863245737469,"shared negative"
