"database","pathway_key","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","NES_human_KD","NES_mouse_KD","padj_human_KD","padj_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","pathway_name","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"Reactome","Nitric oxide stimulates guanylate cyclase","R-HSA-392154",NA,"Nitric oxide stimulates guanylate cyclase",NA,-1.09289555737811,NA,0.509244577102053,NA,-0.293073587064556,NA,FALSE,NA,"Nitric oxide stimulates guanylate cyclase",NA,NA,"mixed or incomplete"
"Reactome","NoRC negatively regulates rRNA expression","R-HSA-427413",NA,"NoRC negatively regulates rRNA expression",NA,-0.804567364918881,NA,0.947716821484411,NA,-0.023321410803887,NA,FALSE,NA,"NoRC negatively regulates rRNA expression",NA,NA,"mixed or incomplete"
"Reactome","Nuclear events stimulated by ALK signaling in cancer","R-HSA-9725371",NA,"Nuclear events stimulated by ALK signaling in cancer",NA,-1.68481876525334,NA,0.0323421542127646,NA,-1.49023105642843,NA,TRUE,NA,"Nuclear events stimulated by ALK signaling in cancer",NA,NA,"mixed or incomplete"
"Reactome","Nuclear import of Rev protein","R-HSA-180746",NA,"Nuclear import of Rev protein",NA,1.49770548328009,NA,0.116810492736678,NA,0.932518144098918,NA,FALSE,NA,"Nuclear import of Rev protein",NA,NA,"mixed or incomplete"
"Reactome","Nuclear signaling by ERBB4","R-HSA-1251985",NA,"Nuclear signaling by ERBB4",NA,-1.77073674492605,NA,0.0240077782565824,NA,-1.61964802884559,NA,TRUE,NA,"Nuclear signaling by ERBB4",NA,NA,"mixed or incomplete"
"Reactome","Nucleotide-like (purinergic) receptors","R-HSA-418038",NA,"Nucleotide-like (purinergic) receptors",NA,-0.596834880504332,NA,0.967383572875208,NA,-0.0144012916325163,NA,FALSE,NA,"Nucleotide-like (purinergic) receptors",NA,NA,"mixed or incomplete"
"Reactome","Oncogenic MAPK signaling","R-HSA-6802957",NA,"Oncogenic MAPK signaling",NA,-1.74279781771656,NA,0.00316582267452079,NA,-2.49951341468967,NA,TRUE,NA,"Oncogenic MAPK signaling",NA,NA,"mixed or incomplete"
"Reactome","Other semaphorin interactions","R-HSA-416700",NA,"Other semaphorin interactions",NA,0.771921220746062,NA,0.889380196523054,NA,0.0509125450428205,NA,FALSE,NA,"Other semaphorin interactions",NA,NA,"mixed or incomplete"
"Reactome","PERK regulates gene expression","R-HSA-381042",NA,"PERK regulates gene expression",NA,0.561082120818632,NA,0.98977018764495,NA,0.00446563148695481,NA,FALSE,NA,"PERK regulates gene expression",NA,NA,"mixed or incomplete"
"Reactome","PI3K events in ERBB2 signaling","R-HSA-1963642",NA,"PI3K events in ERBB2 signaling",NA,-1.05589414362646,NA,0.556003231887961,NA,-0.254922683980841,NA,FALSE,NA,"PI3K events in ERBB2 signaling",NA,NA,"mixed or incomplete"
