"gene_set","sample","ssgsea_score","sample_label","condition","experiment"
"HALLMARK_G2M_CHECKPOINT","sample.jh_2_002_2",0.603482101201106,"Control 2","Control","humanKD"
"HALLMARK_G2M_CHECKPOINT","sample.jh_2_002_1",0.609237671645488,"Control 1","Control","humanKD"
"HALLMARK_GLYCOLYSIS","sample.shrubr5_3_2002",0.480103064944633,"KD 3 2002","KD","humanKD"
"HALLMARK_GLYCOLYSIS","sample.shrubr5_2_2002",0.47996363443764,"KD 2 2002","KD","humanKD"
"HALLMARK_GLYCOLYSIS","sample.shrubr5_1_2002",0.47141465180379,"KD 1 2002","KD","humanKD"
"HALLMARK_GLYCOLYSIS","sample.jh_2_002_3",0.459979216725304,"Control 3","Control","humanKD"
"HALLMARK_GLYCOLYSIS","sample.jh_2_002_2",0.463532910757156,"Control 2","Control","humanKD"
"HALLMARK_GLYCOLYSIS","sample.jh_2_002_1",0.461077621368892,"Control 1","Control","humanKD"
"HALLMARK_HEDGEHOG_SIGNALING","sample.shrubr5_3_2002",0.44310255028401,"KD 3 2002","KD","humanKD"
"HALLMARK_HEDGEHOG_SIGNALING","sample.shrubr5_2_2002",0.436194784984462,"KD 2 2002","KD","humanKD"
"HALLMARK_HEDGEHOG_SIGNALING","sample.shrubr5_1_2002",0.415619209008852,"KD 1 2002","KD","humanKD"
"HALLMARK_HEDGEHOG_SIGNALING","sample.jh_2_002_3",0.250162508448264,"Control 3","Control","humanKD"
"HALLMARK_HEDGEHOG_SIGNALING","sample.jh_2_002_2",0.276156266161972,"Control 2","Control","humanKD"
"HALLMARK_HEDGEHOG_SIGNALING","sample.jh_2_002_1",0.245380836325425,"Control 1","Control","humanKD"
"HALLMARK_HEME_METABOLISM","sample.shrubr5_3_2002",0.362783868568365,"KD 3 2002","KD","humanKD"
"HALLMARK_HEME_METABOLISM","sample.shrubr5_2_2002",0.360780996617334,"KD 2 2002","KD","humanKD"
"HALLMARK_HEME_METABOLISM","sample.shrubr5_1_2002",0.367690968709284,"KD 1 2002","KD","humanKD"
"HALLMARK_HEME_METABOLISM","sample.jh_2_002_3",0.383714309862358,"Control 3","Control","humanKD"
"HALLMARK_HEME_METABOLISM","sample.jh_2_002_2",0.39035046473879,"Control 2","Control","humanKD"
"HALLMARK_HEME_METABOLISM","sample.jh_2_002_1",0.390800842639256,"Control 1","Control","humanKD"
"HALLMARK_HYPOXIA","sample.shrubr5_3_2002",0.425462020703334,"KD 3 2002","KD","humanKD"
"HALLMARK_HYPOXIA","sample.shrubr5_2_2002",0.423223157470062,"KD 2 2002","KD","humanKD"
"HALLMARK_HYPOXIA","sample.shrubr5_1_2002",0.41844535235324,"KD 1 2002","KD","humanKD"
"HALLMARK_HYPOXIA","sample.jh_2_002_3",0.461811371530806,"Control 3","Control","humanKD"
"HALLMARK_HYPOXIA","sample.jh_2_002_2",0.468228101336989,"Control 2","Control","humanKD"
"HALLMARK_HYPOXIA","sample.jh_2_002_1",0.466952874396215,"Control 1","Control","humanKD"
"HALLMARK_IL2_STAT5_SIGNALING","sample.shrubr5_3_2002",0.320370324256417,"KD 3 2002","KD","humanKD"
"HALLMARK_IL2_STAT5_SIGNALING","sample.shrubr5_2_2002",0.319442573305143,"KD 2 2002","KD","humanKD"
"HALLMARK_IL2_STAT5_SIGNALING","sample.shrubr5_1_2002",0.333369872319653,"KD 1 2002","KD","humanKD"
"HALLMARK_IL2_STAT5_SIGNALING","sample.jh_2_002_3",0.300327239376707,"Control 3","Control","humanKD"
"HALLMARK_IL2_STAT5_SIGNALING","sample.jh_2_002_2",0.305797734291154,"Control 2","Control","humanKD"
"HALLMARK_IL2_STAT5_SIGNALING","sample.jh_2_002_1",0.300861863641625,"Control 1","Control","humanKD"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","sample.shrubr5_3_2002",0.214151908065601,"KD 3 2002","KD","humanKD"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","sample.shrubr5_2_2002",0.219371703781032,"KD 2 2002","KD","humanKD"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","sample.shrubr5_1_2002",0.238609624171798,"KD 1 2002","KD","humanKD"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","sample.jh_2_002_3",0.115636621983514,"Control 3","Control","humanKD"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","sample.jh_2_002_2",0.113398874428066,"Control 2","Control","humanKD"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","sample.jh_2_002_1",0.105406927223178,"Control 1","Control","humanKD"
"HALLMARK_INFLAMMATORY_RESPONSE","sample.shrubr5_3_2002",0.0742881877052473,"KD 3 2002","KD","humanKD"
