"ensembl_gene_id","sample.WT_1","sample.WT_2","sample.WT_3","sample.neg.neg_1","sample.neg.neg_2","sample.neg.neg_3"
"ENSMUSG00000032322",23.9987344679866,22.7102928720051,13.1400850880653,17.6566495421932,10.988601974219,2.87745774951121
"ENSMUSG00000032324",3206.72745046373,3556.22540654806,3733.16733186192,2671.19883788323,2982.03186075369,2422.81942508844
"ENSMUSG00000032327",613.209042785452,662.727637446693,248.278449821865,1036.69756597735,552.177249204506,664.69274013709
"ENSMUSG00000032328",2846.74643344393,2891.4331970221,3043.65865645134,2861.63841508832,3119.38938543142,2571.48807547986
"ENSMUSG00000032329",847.403589490287,961.058302901669,941.936625786576,977.421671085697,973.86484996516,880.502071350432
"ENSMUSG00000032330",2628.27519552847,2804.72116969262,2720.6891966552,2546.34110183487,3098.78575672976,2255.92687561679
"ENSMUSG00000032332",2005.96318449654,1816.8234297604,3301.61927423283,1309.11444462833,304.933704784578,484.372054501054
"ENSMUSG00000032333",236.67717440842,237.425789116416,183.269607807227,177.827684674946,168.949755353617,158.260176223117
"ENSMUSG00000032334",4118.67936024722,4720.64405925814,5507.07881875074,2596.78867195542,2462.82041747184,2731.66655686931
"ENSMUSG00000032336",2975.01553146248,3396.22107040439,3912.97902254071,2971.36188010052,3341.90857540936,2942.6801251668
"ENSMUSG00000032340",1123.80280715606,1178.87065726499,1083.01964462686,2437.87882607568,2872.1458410115,3013.65741632141
"ENSMUSG00000032342",451.010699484576,504.787873382294,530.444487502426,471.684780627162,446.411955202648,543.83951465762
"ENSMUSG00000032344",223.436493322634,290.072377137883,325.735793498882,319.080881012492,296.692253303913,301.173911115507
"ENSMUSG00000032348",163.025885868737,308.653525851341,125.176600049464,104.678708000146,129.116073197073,154.423565890435
"ENSMUSG00000032349",2218.64162443697,2673.62084265878,2962.05181222019,2181.85740771388,2256.78413045523,2457.34891808258
"ENSMUSG00000032350",1385.30625860033,1303.77726806102,1522.8667033642,1199.39097961613,1181.27471222854,1325.5488699415
"ENSMUSG00000032352",154.750460190121,182.714629015677,165.288438739348,160.171035132753,116.753895976077,182.238990802377
"ENSMUSG00000032353",2445.38828803105,2681.87913097587,2867.30488290099,1573.96418776123,1789.76854655092,1333.22209060686
"ENSMUSG00000032359",260.675908876407,225.038356640777,114.802848664149,114.768222024256,116.753895976077,56.5900024070539
"ENSMUSG00000032363",929.330303708586,757.69795309326,798.778856669233,705.004792434716,629.097463024039,658.937824638068
"ENSMUSG00000032366",21013.7884257098,27945.0153790022,22338.144649711,15666.4929009375,17094.1439461445,16154.047805756
"ENSMUSG00000032369",1037.73838009846,1198.48409201808,1083.71122805254,1044.26470149543,1168.91253500755,982.172245166494
"ENSMUSG00000032370",299.570409565902,396.397839220452,365.847632188765,326.648016530575,322.790182992684,369.273744520606
"ENSMUSG00000032372",700.928554978782,1012.6726048835,992.422215861774,901.750315904869,1417.52965467425,840.217662857275
"ENSMUSG00000032373",36.4118729859108,26.8394370305514,35.27075471007,85.7608692049386,34.3393811694344,146.750345225072
"ENSMUSG00000032374",1765.14829724881,1759.01541154076,1637.66955202835,1841.33630940015,1542.52500213099,1470.38091000023
"ENSMUSG00000032375",89.3745973290537,70.1954506952884,75.3825933999536,109.723465012201,79.6673643130879,112.220852230937
"ENSMUSG00000032376",967.39726183022,942.47715418821,987.58113188196,1225.87595392942,1203.25191617698,1234.42937454031
"ENSMUSG00000032377",209.368269668987,178.585484857131,201.250776875105,156.387467373712,109.88601974219,115.098309980449
"ENSMUSG00000032381",1756.04532900233,1853.98572718732,1625.91263379166,1934.66431412317,2050.74784343862,1410.91344984367
